a,b,number,start,end
CMR,GHA,3,1994,9999
CMR,GIN,3,1994,9999
CMR,GNB,3,1994,9999
CMR,KEN,3,1994,9999
CMR,LSO,3,1994,9999
CMR,LBR,3,1994,9999
CMR,LBY,3,1994,9999
CMR,MDG,3,1994,9999
CMR,MWI,3,1994,9999
CMR,MLI,3,1994,9999
CMR,MRT,3,1994,9999
CMR,MUS,3,1994,9999
CMR,MOZ,3,1994,9999
CMR,NAM,3,1994,9999
CMR,NER,3,1994,9999
CMR,NGA,3,1994,9999
CMR,RWA,3,1994,9999
CMR,STP,3,1994,9999
CMR,SEN,3,1994,9999
CMR,SYC,3,1994,9999
CMR,SLE,3,1994,9999
CMR,SOM,3,1994,9999
CMR,SDN,3,1994,9999
CMR,TZA,3,1994,9999
CMR,TGO,3,1994,9999
CMR,TUN,3,1994,9999
CMR,UGA,3,1994,9999
CMR,ESH,3,1994,9999
CMR,ZMB,3,1994,9999
CMR,ZWE,3,1994,9999
CPV,CAF,3,1994,9999
CPV,TCD,3,1994,9999
CPV,COM,3,1994,9999
CPV,COG,3,1994,9999
CPV,COD,3,1994,9999
CPV,CIV,3,1994,9999
CPV,DJI,3,1994,9999
CPV,EGY,3,1994,9999
CPV,GNQ,3,1994,9999
CPV,SWZ,3,1994,9999
CPV,ETH,3,1994,9999
CPV,GAB,3,1994,9999
CPV,GMB,3,1994,9999
CPV,GHA,3,1994,9999
CPV,GIN,3,1994,9999
CPV,GNB,3,1994,9999
CPV,KEN,3,1994,9999
CPV,LSO,3,1994,9999
CPV,LBR,3,1994,9999
CPV,LBY,3,1994,9999
CPV,MDG,3,1994,9999
CPV,MWI,3,1994,9999
CPV,MLI,3,1994,9999
CPV,MRT,3,1994,9999
CPV,MUS,3,1994,9999
CPV,MOZ,3,1994,9999
CPV,NAM,3,1994,9999
CPV,NER,3,1994,9999
CPV,NGA,3,1994,9999
CPV,RWA,3,1994,9999
CPV,STP,3,1994,9999
CPV,SEN,3,1994,9999
CPV,SYC,3,1994,9999
CPV,SLE,3,1994,9999
CPV,SOM,3,1994,9999
CPV,SDN,3,1994,9999
CPV,TZA,3,1994,9999
CPV,TGO,3,1994,9999
CPV,TUN,3,1994,9999
CPV,UGA,3,1994,9999
CPV,ESH,3,1994,9999
CPV,ZMB,3,1994,9999
CPV,ZWE,3,1994,9999
CAF,TCD,3,1994,9999
CAF,COM,3,1994,9999
CAF,COG,3,1994,9999
CAF,COD,3,1994,9999
CAF,CIV,3,1994,9999
CAF,DJI,3,1994,9999
CAF,EGY,3,1994,9999
CAF,GNQ,3,1994,9999
CAF,SWZ,3,1994,9999
CAF,ETH,3,1994,9999
CAF,GAB,3,1994,9999
CAF,GMB,3,1994,9999
CAF,GHA,3,1994,9999
CAF,GIN,3,1994,9999
CAF,GNB,3,1994,9999
CAF,KEN,3,1994,9999
CAF,LSO,3,1994,9999
CAF,LBR,3,1994,9999
CAF,LBY,3,1994,9999
CAF,MDG,3,1994,9999
CAF,MWI,3,1994,9999
CAF,MLI,3,1994,9999
CAF,MRT,3,1994,9999
CAF,MUS,3,1994,9999
CAF,MOZ,3,1994,9999
CAF,NAM,3,1994,9999
CAF,NER,3,1994,9999
CAF,NGA,3,1994,9999
CAF,RWA,3,1994,9999
CAF,STP,3,1994,9999
CAF,SEN,3,1994,9999
CAF,SYC,3,1994,9999
CAF,SLE,3,1994,9999
CAF,SOM,3,1994,9999
CAF,SDN,3,1994,9999
CAF,TZA,3,1994,9999
CAF,TGO,3,1994,9999
CAF,TUN,3,1994,9999
CAF,UGA,3,1994,9999
CAF,ESH,3,1994,9999
CAF,ZMB,3,1994,9999
CAF,ZWE,3,1994,9999
TCD,COM,3,1994,9999
TCD,COG,3,1994,9999
TCD,COD,3,1994,9999
TCD,CIV,3,1994,9999
TCD,DJI,3,1994,9999
TCD,EGY,3,1994,9999
TCD,GNQ,3,1994,9999
TCD,SWZ,3,1994,9999
TCD,ETH,3,1994,9999
TCD,GAB,3,1994,9999
TCD,GMB,3,1994,9999
TCD,GHA,3,1994,9999
TCD,GIN,3,1994,9999
TCD,GNB,3,1994,9999
TCD,KEN,3,1994,9999
TCD,LSO,3,1994,9999
TCD,LBR,3,1994,9999
TCD,LBY,3,1994,9999
TCD,MDG,3,1994,9999
TCD,MWI,3,1994,9999
TCD,MLI,3,1994,9999
TCD,MRT,3,1994,9999
TCD,MUS,3,1994,9999
TCD,MOZ,3,1994,9999
TCD,NAM,3,1994,9999
TCD,NER,3,1994,9999
TCD,NGA,3,1994,9999
TCD,RWA,3,1994,9999
TCD,STP,3,1994,9999
TCD,SEN,3,1994,9999
TCD,SYC,3,1994,9999
TCD,SLE,3,1994,9999
TCD,SOM,3,1994,9999
TCD,SDN,3,1994,9999
TCD,TZA,3,1994,9999
TCD,TGO,3,1994,9999
TCD,TUN,3,1994,9999
TCD,UGA,3,1994,9999
TCD,ESH,3,1994,9999
TCD,ZMB,3,1994,9999
TCD,ZWE,3,1994,9999
COM,COG,3,1994,9999
COM,COD,3,1994,9999
COM,CIV,3,1994,9999
COM,DJI,3,1994,9999
COM,EGY,3,1994,9999
COM,GNQ,3,1994,9999
COM,SWZ,3,1994,9999
COM,ETH,3,1994,9999
COM,GAB,3,1994,9999
COM,GMB,3,1994,9999
COM,GHA,3,1994,9999
COM,GIN,3,1994,9999
COM,GNB,3,1994,9999
COM,KEN,3,1994,9999
COM,LSO,3,1994,9999
COM,LBR,3,1994,9999
COM,LBY,3,1994,9999
COM,MDG,3,1994,9999
COM,MWI,3,1994,9999
COM,MLI,3,1994,9999
COM,MRT,3,1994,9999
COM,MUS,3,1994,9999
COM,MOZ,3,1994,9999
COM,NAM,3,1994,9999
COM,NER,3,1994,9999
COM,NGA,3,1994,9999
COM,RWA,3,1994,9999
COM,STP,3,1994,9999
COM,SEN,3,1994,9999
COM,SYC,3,1994,9999
COM,SLE,3,1994,9999
COM,SOM,3,1994,9999
COM,SDN,3,1994,9999
COM,TZA,3,1994,9999
COM,TGO,3,1994,9999
COM,TUN,3,1994,9999
COM,UGA,3,1994,9999
COM,ESH,3,1994,9999
