ISO3,year,D_pend
PSE,2011,0.0
PYF,2011,0.0
QAT,2011,1.2453222453226145
ROU,2011,0.0
RUS,2011,0.0
RWA,2011,0.0
SAU,2011,1.2453222453226145
SDN,2011,0.0
SEN,2011,0.0
SGP,2011,0.0
SLB,2011,0.0
SLE,2011,0.0
SLV,2011,0.0
SMR,2011,0.0
SOM,2011,0.0
SPM,2011,0.0
SRB,2011,8.775202786637237e-13
STP,2011,0.0
SUR,2011,0.0
SVK,2011,0.0
SVN,2011,0.0
SWE,2011,0.0
SWZ,2011,0.0
SYC,2011,1.0582645870726992e-12
SYR,2011,0.0
TCA,2011,0.0
TCD,2011,0.0
TGO,2011,0.0
THA,2011,0.0
TJK,2011,1.2256862191861728e-13
TKM,2011,0.0
TON,2011,0.0
TTO,2011,0.0
TUN,2011,0.0
TUR,2011,0.0
TUV,2011,0.0
TWN,2011,0.0
TZA,2011,0.0
UGA,2011,0.0
UKR,2011,1.000088900582341e-12
URY,2011,0.0
USA,2011,0.0
UZB,2011,1.2256862191861728e-13
VCT,2011,0.0
VEN,2011,1.8305335179563373
VNM,2011,0.0
VUT,2011,0.0
WLF,2011,0.0
WSM,2011,0.0
XKX,2011,0.0
YEM,2011,0.0
YUG,2011,0.0
ZAF,2011,0.0
ZMB,2011,0.0
ZWE,2011,0.0
ABW,2012,0.0
AFG,2012,0.0
AGO,2012,0.0
AIA,2012,0.0
ALB,2012,0.0
AND,2012,0.0
ARE,2012,1.2453222453226145
ARG,2012,0.0
ARM,2012,0.0
ATG,2012,0.0
AUS,2012,0.0
AUT,2012,0.0
AZE,2012,0.0
BDI,2012,0.0
BEL,2012,0.0
BEN,2012,0.0
BFA,2012,0.0
BGD,2012,0.0
BGR,2012,0.0
BHR,2012,1.737276988933445e-12
BHS,2012,0.0
BIH,2012,0.0
BLR,2012,0.0
BLZ,2012,0.0
BMU,2012,0.0
BOL,2012,0.0
BRA,2012,0.0
BRB,2012,0.0
BRN,2012,0.0
BTN,2012,0.0
BWA,2012,0.0
CAF,2012,0.0
CAN,2012,0.0
CHE,2012,0.0
CHL,2012,0.0
CHN,2012,0.0
CIV,2012,0.0
CMR,2012,0.0
COD,2012,0.0
COG,2012,0.0
COK,2012,0.0
COL,2012,0.0
COM,2012,0.0
CPV,2012,0.0
CRI,2012,0.0
CUB,2012,0.0
CYM,2012,0.0
CYP,2012,0.0
CZE,2012,0.0
DEU,2012,0.0
DJI,2012,0.0
DMA,2012,0.0
DNK,2012,0.0
DOM,2012,0.0
DZA,2012,0.014342162022333405
ECU,2012,0.0
EGY,2012,4.440892098500626e-15
ERI,2012,0.0
ESH,2012,0.0
ESP,2012,0.0
EST,2012,0.0
ETH,2012,0.0
FIN,2012,0.0
FJI,2012,0.0
FRA,2012,0.0
FRO,2012,0.0
FSM,2012,0.0
GAB,2012,0.0
GBR,2012,0.0
GEO,2012,0.0
GHA,2012,0.0
GIN,2012,0.0
GMB,2012,0.0
GNB,2012,0.0
GNQ,2012,0.0
GRC,2012,0.0
GRD,2012,0.0
GRL,2012,0.0
GTM,2012,0.0
GUY,2012,0.0
HKG,2012,1.000088900582341e-12
HND,2012,0.0
HRV,2012,2.007283228522283e-13
HTI,2012,0.0
HUN,2012,0.0
IDN,2012,0.0
IND,2012,0.0
IRL,2012,0.0
IRN,2012,0.0
IRQ,2012,0.0
ISL,2012,0.0
ISR,2012,0.0
ITA,2012,0.0
JAM,2012,0.0
JOR,2012,0.0
JPN,2012,0.0
KAZ,2012,0.0
KEN,2012,0.0
KGZ,2012,0.0
KHM,2012,0.0
KIR,2012,0.0
KNA,2012,0.0
KOR,2012,0.0
KWT,2012,1.2453222453225523
LAO,2012,0.0
LBN,2012,0.004563091333944058
LBR,2012,0.0
LBY,2012,0.0
LCA,2012,0.0
LIE,2012,0.0
LKA,2012,0.0
LSO,2012,0.0
LTU,2012,0.0
LUX,2012,0.0
LVA,2012,0.0
MAC,2012,0.0
MAR,2012,0.0
MCO,2012,0.0
MDA,2012,0.0
MDG,2012,0.0
MDV,2012,0.0
MEX,2012,0.0
MHL,2012,0.0
MKD,2012,6.039613253960852e-14
MLI,2012,0.0
MLT,2012,0.0
MMR,2012,0.0
MNE,2012,1.000088900582341e-12
MOZ,2012,0.0
MRT,2012,0.0
MSR,2012,0.0
MUS,2012,1.000088900582341e-12
MWI,2012,0.0
MYS,2012,0.0
NAM,2012,0.0
NCL,2012,0.0
NER,2012,0.0
NGA,2012,0.0
NIC,2012,0.0
NIU,2012,0.0
NLD,2012,0.0
NOR,2012,0.0
NPL,2012,0.0
NRU,2012,0.0
NZL,2012,0.0
OMN,2012,1.2452261444195756e-12
PAK,2012,0.0
PAN,2012,0.0
PCN,2012,0.0
PER,2012,0.0
PHL,2012,0.0
PNG,2012,0.0
POL,2012,0.0
PRK,2012,0.0
PRT,2012,0.0
PRY,2012,0.0
PSE,2012,0.0
PYF,2012,0.0
QAT,2012,1.2453222453226145
ROU,2012,0.0
RUS,2012,0.0
RWA,2012,0.0
SAU,2012,1.2453222453226145
SDN,2012,0.0
SEN,2012,0.0
SGP,2012,0.0
SLB,2012,0.0
SLE,2012,0.0
SLV,2012,0.0
SMR,2012,0.0
SOM,2012,0.0
SPM,2012,0.0
SRB,2012,8.775202786637237e-13
STP,2012,0.0
SUR,2012,0.0
SVK,2012,0.0
SVN,2012,0.0
SWE,2012,0.0
SWZ,2012,0.0
SYC,2012,1.0582645870726992e-12
SYR,2012,0.0
TCA,2012,0.0
TCD,2012,0.0
