ISO3,year,kaopen,ka_open,P_ka,P_strat,P_manuf,P_total,P_select,P_screen,P_interp
ATG,2021,1.2017204,0.744299,0.255701,,,,,,
ATG,2022,1.2017204,0.744299,0.255701,,,,,,
ATG,2023,1.2017204,0.744299,0.255701,,,,,,
AUS,1970,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1971,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1972,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1973,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1974,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1975,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1976,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1977,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1978,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1979,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1980,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1981,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1982,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1983,-0.17476626,0.41813296,0.58186704,,,,,,
AUS,1984,0.07700613,0.47779182,0.5222082,,,,,,
AUS,1985,1.5255132,0.82102346,0.17897654,,,,,,
AUS,1986,1.7772856,0.8806823,0.11931771,,,,,,
AUS,1987,2.029058,0.9403412,0.059658825,,,,,,
AUS,1988,2.2808304,1.0,0.0,,,,,,
AUS,1989,2.2808304,1.0,0.0,,,,,,
AUS,1990,2.2808304,1.0,0.0,,,,,,
AUS,1991,2.2808304,1.0,0.0,,,,,,
AUS,1992,2.2808304,1.0,0.0,,,,,,
AUS,1993,2.2808304,1.0,0.0,,,,,,
AUS,1994,2.2808304,1.0,0.0,,,,,,
AUS,1995,2.2808304,1.0,0.0,,,,,,
AUS,1996,2.029058,0.9403412,0.059658825,,,,,,
AUS,1997,1.7772856,0.8806823,0.11931771,0.3942,0.2,0.266,0.19419999999999998,0.2,0.0
AUS,1998,1.5255132,0.82102346,0.17897654,0.3917333333333333,0.19583333333333333,0.26266666666666666,0.1959,0.19683333333333333,1.0
AUS,1999,1.2737408,0.76136464,0.23863536,0.38926666666666665,0.19166666666666668,0.25933333333333336,0.19759999999999997,0.19366666666666668,1.0
AUS,2000,1.0219685,0.7017058,0.2982942,0.3868,0.1875,0.256,0.19929999999999998,0.1905,1.0
AUS,2001,1.0219685,0.7017058,0.2982942,0.3843333333333333,0.18333333333333332,0.25266666666666665,0.20099999999999998,0.18733333333333332,1.0
AUS,2002,1.0219685,0.7017058,0.2982942,0.38186666666666663,0.17916666666666667,0.24933333333333332,0.20269999999999996,0.18416666666666667,1.0
AUS,2003,1.0219685,0.7017058,0.2982942,0.37939999999999996,0.175,0.246,0.20439999999999997,0.181,0.0
AUS,2004,1.0219685,0.7017058,0.2982942,0.36939999999999995,0.175,0.243,0.1944,0.181,1.0
AUS,2005,1.0219685,0.7017058,0.2982942,0.3594,0.175,0.24,0.18439999999999998,0.181,1.0
AUS,2006,1.0219685,0.7017058,0.2982942,0.3494,0.175,0.237,0.1744,0.181,0.0
AUS,2007,1.0219685,0.7017058,0.2982942,0.31579999999999997,0.15,0.20975,0.1658,0.16125,1.0
AUS,2008,1.0219685,0.7017058,0.2982942,0.2822,0.125,0.1825,0.1572,0.1415,1.0
AUS,2009,1.0219685,0.7017058,0.2982942,0.2486,0.09999999999999999,0.15525,0.1486,0.12175,1.0
AUS,2010,1.0219685,0.7017058,0.2982942,0.215,0.075,0.128,0.14,0.102,0.0
AUS,2011,1.0219685,0.7017058,0.2982942,0.215,0.075,0.128,0.14,0.102,0.0
AUS,2012,1.2737408,0.76136464,0.23863536,0.215,0.075,0.128,0.14,0.102,0.0
AUS,2013,1.5255132,0.82102346,0.17897654,0.215,0.075,0.128,0.14,0.102,0.0
AUS,2014,1.7772856,0.8806823,0.11931771,0.2136,0.075,0.127,0.1386,0.102,0.0
AUS,2015,2.029058,0.9403412,0.059658825,0.2136,0.08,0.14,0.1336,0.115,0.0
AUS,2016,2.2808304,1.0,0.0,0.24020000000000002,0.08,0.146,0.1602,0.121,0.0
AUS,2017,2.2808304,1.0,0.0,0.24020000000000002,0.08,0.147,0.1602,0.119,0.0
AUS,2018,2.2808304,1.0,0.0,0.24020000000000002,0.08,0.149,0.1602,0.119,0.0
AUS,2019,2.2808304,1.0,0.0,0.24020000000000002,0.08,0.149,0.1602,0.119,0.0
AUS,2020,2.2808304,1.0,0.0,0.24020000000000002,0.08,0.149,0.1602,0.119,0.0
AUS,2021,2.2808304,1.0,0.0,,,,,,
AUS,2022,2.2808304,1.0,0.0,,,,,,
AUS,2023,2.2808304,1.0,0.0,,,,,,
AUT,1970,-0.05714153,0.4460048,0.5539952,,,,,,
AUT,1971,-0.05714153,0.4460048,0.5539952,,,,,,
AUT,1972,-0.05714153,0.4460048,0.5539952,,,,,,
AUT,1973,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1974,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1975,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1976,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1977,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1978,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1979,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1980,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1981,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1982,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1983,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1984,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1985,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1986,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1987,1.0219685,0.7017058,0.2982942,,,,,,
