number,standards,investments,services,procurement,competition,iprs,source,base
328+2,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.0,0.5079365079365079,DESTA,328
328+3,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.0,0.5079365079365079,DESTA,328
329,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,329
329+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,329
329+2,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,329
33,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,33
330,1.0,1.0,1.0,1.0,1.0,0.0,WB,330
330+1,1.0,1.0,1.0,1.0,1.0,0.0,WB-母协定,330
330+2,1.0,1.0,1.0,1.0,1.0,0.0,WB-母协定,330
330+3,1.0,1.0,1.0,1.0,1.0,0.0,WB-母协定,330
331,0.0,0.0,0.0,1.0,1.0,1.0,WB,331
332,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,332
332+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,332
332+2,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,332
333,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,333
334,0.0,1.0,0.0,0.0,1.0,1.0,WB,334
334+1,0.0,1.0,0.0,0.0,1.0,1.0,WB-母协定,334
334+2,0.0,1.0,0.0,0.0,1.0,1.0,WB-母协定,334
334+3,0.0,1.0,0.0,0.0,1.0,1.0,WB-母协定,334
335,0.0,0.0,0.0,0.0,1.0,1.0,WB,335
335+1,1.0,1.0,1.0,1.0,1.0,1.0,WB,335
335+2,0.0,0.0,0.0,0.0,1.0,1.0,WB-母协定,335
336,0.0,0.0,0.0,0.0,0.0,0.0,WB,336
336+1,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,336
337,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,DESTA,337
337+1,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,DESTA,337
338,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,338
339a,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,338
34,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,34
