ISO3,year,gP,gN,gS,gP_noCN,sCN
CIV,2009,-0.006394921942617548,-0.019991811283375106,0.013596889340757555,-0.007080788672813929,0.007749046253626776
CIV,2010,0.03675635039853738,0.010818864796925303,0.025937485601612076,0.03624314028642642,0.0050992859017518185
CIV,2011,0.03705835228091936,0.010457198537255838,0.026601153743663522,0.03650201396019557,0.006084575404629279
CIV,2012,0.023980923097266515,0.0010010111798188193,0.022979911917447693,0.023364711378125638,0.008044393062408997
CIV,2013,0.02615505444875256,0.00367076814611141,0.022484286302641154,0.025442304383733565,0.009567974945935498
CIV,2014,0.03184483442164289,0.009522208640756797,0.022322625780886094,0.03107050545246981,0.010689669657964312
CIV,2015,0.027194155545187455,0.008534816026306383,0.018659339518881074,0.02645698339025048,0.01091418980328388
CIV,2016,0.02479483957191942,0.008914652181139356,0.01588018739078006,0.024130881370197373,0.010061672914602573
CIV,2017,0.034712462835572125,0.013145251360219682,0.02156721147535244,0.03413952821940994,0.008551501643788735
CIV,2018,0.03360142194751306,0.011667746036664553,0.02193367591084851,0.0330813043915293,0.007980489177692457
CIV,2019,0.03128244542785267,0.010018987595483458,0.021263457832369215,0.03067301000795092,0.010540296486695447
CIV,2020,-0.0328810303026079,-0.026137469256168906,-0.00674356104643899,-0.0332853250575148,0.01819251525217032
CIV,2021,0.055218480978517046,0.029763911729600558,0.02545456924891648,0.05300092405269409,0.02730126088497047
CIV,2022,0.04290699982728781,0.01732675764095837,0.025580242186329434,0.041142493714821024,0.05365219096731786
CIV,2023,0.026093379660893312,0.0050736250393559855,0.021019754621537323,0.022449247450217827,0.07614783095211401
CMR,1991,0.01935883021024018,0.012859646982043409,0.006499183228196773,0.017676205298278968,0.0188022348093045
CMR,1992,0.020857824138628453,0.01255316365504295,0.008304660483585503,0.018949069700944895,0.01428142974464202
CMR,1993,0.004919602236991506,0.0004983701892452414,0.004421232047746265,0.0035929620350507053,0.01020431082058684
CMR,1994,0.02898510343076969,0.02167037122410652,0.007314732206663175,0.028454360845174796,0.0042605914375286845
CMR,1995,0.029774635973998195,0.02308874871943522,0.006685887254562977,0.029407189127408126,0.0036212555580080004
CMR,1996,0.0312811414335136,0.016280888272479196,0.015000253161034406,0.030372475047461524,0.009864447007939398
CMR,1997,0.04513090375645218,0.02412661751002826,0.02100428624642392,0.04371174439356492,0.015481650367049753
CMR,1998,0.032446006343385736,0.025563907501792032,0.006882098841593699,0.03054380987795948,0.024629849358615882
CMR,1999,0.03344087278240904,0.02522379739108577,0.008217075391323263,0.03170717954058524,0.024182544383431467
CMR,2000,0.045098100418094,0.033301586005366694,0.011796514412727301,0.04277588225540098,0.02751854394380724
CMR,2001,0.02800167771365909,0.01668295259382896,0.011318725119830134,0.025072435716003323,0.0376426893363328
CMR,2002,0.02417101119112805,0.007372368507558313,0.016798642683569738,0.019717351606146367,0.05118479604698717
CMR,2003,0.0228727910975863,0.007949752144848606,0.01492303895273769,0.01758028924950229,0.056588526883828726
CMR,2004,0.037643289628134485,0.01716733242658766,0.020475957201546824,0.03278559224300233,0.049699036567611786
CMR,2005,0.035636332671695733,0.018363348497481682,0.017272984174214058,0.03134551353668524,0.03995817478997745
CMR,2006,0.036826640025731244,0.022674859265712253,0.014151780760018988,0.03282013490296515,0.03344294655673406
CMR,2007,0.034426922052690365,0.020723485349119764,0.013703436703570607,0.030429831889188668,0.030115665762439365
CMR,2008,0.013435250438052724,0.0014520827173708053,0.011983167720681918,0.010826811230324805,0.02766622788910809
CMR,2009,-0.018271535567803424,-0.027707280552506316,0.009435744984702892,-0.02221825775248073,0.04459078041374376
CMR,2010,0.030375978167443002,0.00805129994736826,0.02232467822007474,0.024453950838704573,0.05884161234277441
CMR,2011,0.02714279151168545,0.0062315207776040766,0.020911270734081375,0.020021941180700907,0.07787950096190817
CMR,2012,0.016287948149215026,-0.007339612235242789,0.023627560384457815,0.009869934782907437,0.08378455098250032
CMR,2013,0.01482641485228816,-0.000993729684723928,0.01582014453701209,0.006661517718222544,0.10960578616404337
CMR,2014,0.029554055624966116,0.008239647031358065,0.021314408593608055,0.022130870203652377,0.10247763305097729
CMR,2015,0.032121170992753065,0.013445642665717598,0.01867552832703547,0.023976754750355392,0.12058201616971771
CMR,2016,0.028731014175848623,0.0116514071619861,0.017079607013862526,0.021405501549736528,0.11101137358430833
CMR,2017,0.03430737123866179,0.013551205518865721,0.020756165719796073,0.02663155817051218,0.11456757231634054
CMR,2018,0.03306842640070063,0.01048230282715045,0.02258612357355018,0.026177850056665716,0.10572642532249364
