ISO3,year,gN,gS,gCN,gS_noCN,gTOP,gS_noTOP,top,wTOP
UGA,2014,0.0053263695506227515,0.037128815046724786,0.0010774279641992746,0.03605138708252551,0.007128059883427212,0.030000755163297574,SDN,0.15645396730697447
UGA,2015,0.005080087694919965,0.03583339601114001,0.0015331248846479596,0.034300271126492046,0.006979965339429304,0.028853430671710704,KEN,0.14396835606590555
UGA,2016,0.005314356523141502,0.02226459380507737,0.0018100596539106653,0.020454534151166704,0.0071428622828901235,0.015121731522187244,KEN,0.17306935715252159
UGA,2017,0.005849063992854946,0.019475923868807997,0.0016858069687259029,0.017790116900082094,0.006776460498907682,0.012699463369900315,KEN,0.17993120381897307
UGA,2018,0.004101534788890967,0.03356745721054326,0.0010779311660282813,0.03248952604451498,0.01046034078103477,0.023107116429508488,KEN,0.19038804827064293
UGA,2019,0.0034583891972178524,0.034157654601098264,0.0006329885015700532,0.033524666099528214,0.009300570441461849,0.024857084159636417,KEN,0.1864711952705919
UGA,2020,-0.01201239811958923,-0.030127729380401317,0.00024325191579122705,-0.030370981296192544,-0.02068112119490059,-0.009446608185500728,ARE,0.22739761604090744
UGA,2021,0.010113356061361812,0.03867685413760733,0.000861472306039869,0.03781538183156746,0.014479714991710723,0.024197139145896607,ARE,0.3252295905583989
UGA,2022,0.00636170827173577,0.03928916507868384,0.0003406478860075727,0.038948517192676266,0.02579815381709031,0.013491011261593529,ARE,0.35605569300708445
UGA,2023,0.002091384395029024,0.029118894371157517,0.0007219164158971923,0.028396977955260326,0.010379224003770265,0.018739670367387253,ARE,0.24646106395979553
UKR,1993,-0.001546448979059671,0.014244894391854682,0.010567594988685534,0.0036772994031691476,-0.002049931273885638,0.01629482566574032,BGR,0.1374494455494446
UKR,1994,0.012519537444893704,0.011980320455099915,0.011857255318509907,0.00012306513659000873,0.0021430329879353156,0.009837287467164599,BGR,0.11895733734062217
UKR,1995,0.009426998939356557,0.013824603707218445,0.00843124152232952,0.005393362184888924,-0.00589141088949402,0.019716014596712465,RUS,0.13780701930351963
UKR,1996,0.004203631490087572,0.013742300555898842,0.006317108075229974,0.007425192480668867,-0.009917562347352927,0.02365986290325177,RUS,0.2826215257987586
UKR,1997,0.004542629660711265,0.024132835542669935,0.0045134438109067886,0.019619391731763147,0.004981786513207785,0.01915104902946215,RUS,0.42095604731578123
UKR,1998,0.004597989344903919,-0.0012296902223615323,0.0043820413142041095,-0.005611731536565642,-0.019326925836710848,0.018097235614349318,RUS,0.3636120020379707
UKR,1999,0.005479641841959309,0.03129715509764146,0.0045738543519945616,0.026723300745646897,0.017164065685680272,0.014133089411961185,RUS,0.2967125656413969
UKR,2000,0.008396450259299689,0.05207078819685541,0.005642815216045629,0.04642797298080978,0.022543265150722833,0.029527523046132573,RUS,0.23495127607859564
UKR,2001,0.004372412644189579,0.026896363970871272,0.0042982590640654956,0.022598104906805777,0.011342824516429663,0.01555353945444161,RUS,0.22775465226122213
UKR,2002,0.0028843310460092654,0.03654404225924921,0.004078064849170069,0.032465977410079144,0.010760679214098515,0.025783363045150696,RUS,0.22682844805417596
UKR,2003,0.0028321468164727867,0.04010382031910377,0.0036379039968633753,0.036465916322240395,0.014995954509099074,0.025107865810004695,RUS,0.21735512939094292
UKR,2004,0.0051331010025129995,0.05524111648811238,0.0038098178353500435,0.05143129865276233,0.013510977764370253,0.04173013872374212,RUS,0.19895063917324216
UKR,2005,0.005287150487477629,0.04957618734073152,0.0038939826138895657,0.04568220472684195,0.011647999460366348,0.03792818788036517,RUS,0.18317026990997412
UKR,2006,0.007458085757552232,0.05525019533944007,0.0036156303714669153,0.051634564967973154,0.015302124643052077,0.03994807069638799,RUS,0.1974786325017179
UKR,2007,0.005720085801319761,0.054810214057120415,0.002706430636424254,0.05210378342069616,0.0180499792987817,0.036760234758338714,RUS,0.211292999214887
UKR,2008,0.0003250089168184948,0.037514074472876566,0.001399303911932619,0.03611477056094395,0.013372470785574011,0.024141603687302553,RUS,0.23830953796763868
UKR,2009,-0.008725912210980144,-0.021176596073104147,0.0009382344305945475,-0.022114830503698696,-0.01801735689165854,-0.0031592391814456063,RUS,0.24441059913497395
UKR,2010,0.003651642454725421,0.040944516903627284,0.0018069632575241337,0.03913755364610315,0.009635287103390802,0.03130922980023648,RUS,0.2398863987962548
UKR,2011,0.0027248967786766094,0.03754835151841037,0.0021568653849918375,0.03539148613341853,0.010184737731930144,0.027363613786480227,RUS,0.24023124072247018
UKR,2012,-0.0012669492611466333,0.026273986895608087,0.0024113097723085022,0.023862677123299585,0.010148282589188113,0.016125704306419974,RUS,0.25716216461781277
UKR,2013,-0.00023124716930495636,0.021844743126162046,0.002085953789719932,0.019758789336442113,0.0045555997886216676,0.017289143337540377,RUS,0.2713772145466369
UKR,2014,0.0023633001671820074,0.022865951552997924,0.002451619482068784,0.02041433207092914,0.002182834782037012,0.02068311677096091,RUS,0.26334191698870013
UKR,2015,0.0033288816388843396,0.015843471580380613,0.0026851797487420915,0.013158291831638521,-0.004597910701356741,0.020441382281737353,RUS,0.22704788980291704
UKR,2016,0.003586820194406272,0.022148350478247987,0.003437021126829498,0.01871132935141849,0.00022013509967873957,0.021928215378569246,RUS,0.18304231332113338
UKR,2017,0.005245278814741425,0.032965475659878174,0.003650625682489204,0.02931484997738897,0.002594223305330255,0.03037125235454792,RUS,0.13619260561544513
UKR,2018,0.004016954267397655,0.03084722680995838,0.0034925508882049814,0.027354675921753398,0.0028377131262453305,0.02800951368371305,RUS,0.10603777739761086
UKR,2019,0.0038326126397468714,0.02319291607519757,0.002781657840580871,0.0204112582346167,0.002032426332338395,0.021160489742859175,RUS,0.08952453488432652
UKR,2020,-0.017474262772055313,-0.02117357163507727,0.001228304022717095,-0.022401875657794366,-0.0021339170458171486,-0.019039654589260123,RUS,0.07814985623283431
UKR,2021,0.01602348830332402,0.04771105149836073,0.007139270020167184,0.04057178147819355,0.007139270020167184,0.04057178147819355,CHN,0.08789450727471175
UKR,2022,0.009889291250712367,0.02694792998703244,0.003714782041394395,0.023233147945638046,0.003714782041394395,0.023233147945638046,CHN,0.11295296404965323
UKR,2023,0.0022999618632917706,0.021276138115263105,0.005150332086153006,0.0161258060291101,0.005150332086153006,0.0161258060291101,CHN,0.10762140185109574
URY,1991,0.005659443063242439,0.0029322892063040444,0.003539805141327255,-0.0006075159350232106,0.0030905012750167362,-0.0001582120687126918,BRA,0.30094811239441477
URY,1992,0.006352755251871355,0.01022300104155742,0.006984292470621426,0.0032387085709359937,-0.0014964455487850878,0.011719446590342507,BRA,0.27429721572124727
URY,1993,0.0032011486453722565,0.03375936756911746,0.007248608166682245,0.026510759402435215,0.012047447004597733,0.021711920564519725,BRA,0.2506101826281222
URY,1994,0.011166002905944942,0.038663318644158375,0.007430954303375556,0.031232364340782817,0.01254017904259111,0.026123139601567265,BRA,0.2204672565389447
URY,1995,0.008596865263613326,0.017544000003833413,0.005716811578778248,0.011827188425055165,0.009215364734043403,0.00832863526979001,BRA,0.22275325136740942
URY,1996,0.00704869235471534,0.02959987469731585,0.005246342314122321,0.02435353238319353,0.005972150688644186,0.023627724008671663,BRA,0.2744351467570773
URY,1997,0.009873528307618885,0.03721517585800682,0.005056561966606639,0.032158613891400185,0.011551971365082497,0.025663204492924325,BRA,0.3157382904100641
URY,1998,0.00938743061439421,0.010909431000309763,0.003969740991245818,0.006939690009063945,0.0012261782229464645,0.009683252777363299,BRA,0.34479983286527166
URY,1999,0.008842239073516953,0.0026532608923682914,0.0029324513959232464,-0.000279190503554955,0.0016200230694029057,0.0010332378229653857,BRA,0.34692698792227794
URY,2000,0.01085160623711473,0.02450580165192228,0.0028631274548481175,0.021642674197074163,0.013291358571263583,0.011214443080658698,BRA,0.31458658319230737
URY,2001,0.005047635602758737,0.0012942687646842312,0.0024947075284056978,-0.0012004387637214666,0.004051072587271131,-0.0027568038225869,BRA,0.27597185463279156
URY,2002,0.004461025585714361,-0.0037811818758296343,0.0034466823481718945,-0.007227864224001529,0.0069841763200966895,-0.010765358195926323,BRA,0.23442897246395603
URY,2003,0.005145708228334813,0.028428962099059346,0.004591055411947978,0.023837906687111367,0.0026563193868742838,0.025772642712185063,BRA,0.22853743019324893
URY,2004,0.008560744619387483,0.0398194981444688,0.004937923554275723,0.034881574590193073,0.011837946484741624,0.027981551659727176,BRA,0.22399789444046977
URY,2005,0.010918425771910392,0.031183318020890638,0.0050500371041842405,0.026133280916706397,0.007483026501168309,0.02370029151972233,BRA,0.20900346357985025
URY,2006,0.012559894410527747,0.033209328617517804,0.004829409414702555,0.028379919202815247,0.006848734195742541,0.02636059442177526,BRA,0.17694685480891903
URY,2007,0.009988106372566082,0.0372025596991217,0.0053105827745524165,0.031891976924569285,0.008930709848406004,0.028271849850715697,BRA,0.15506112870165215
URY,2008,0.0010554883710970396,0.02673211043750129,0.0037347636162543925,0.022997346821246895,0.007283273695886383,0.019448836741614905,BRA,0.15586858219122887
URY,2009,-0.012908009386207377,-0.00703736206400216,0.0033888979826444377,-0.010426260046646598,0.00029451337117755385,-0.007331875435179713,BRA,0.1723028039644707
URY,2010,0.006732826284179273,0.044784098816273266,0.004136258501291064,0.040647840314982205,0.014739356195714128,0.030044742620559138,BRA,0.20247216729813014
URY,2011,0.0038791766455266354,0.035022272221078975,0.004510314445330437,0.030511957775748538,0.00917394764208052,0.025848324578998452,BRA,0.22752722578542883
URY,2012,-0.0003551449875552763,0.02240390637327002,0.004933707026024818,0.017470199347245204,0.0038903181724443416,0.01851358820082568,BRA,0.24320277955072983
URY,2013,0.0010077166323005158,0.028528205932008714,0.006253466670401942,0.022274739261606773,0.0075270077719113634,0.02100119816009735,BRA,0.2396121368679803
URY,2014,0.004209348574866171,0.014645255235318459,0.008657169711765255,0.005988085523553203,0.001191608247282026,0.013453646988036432,BRA,0.2317725645124055
URY,2015,0.00421853704196695,0.006549115475213599,0.009967762196711891,-0.0034186467214982925,-0.008107161710823717,0.014656277186037316,BRA,0.2248037626979009
URY,2016,0.004246491013722869,0.003333538961950059,0.011101709172029078,-0.007768170210079019,-0.007352974438614114,0.010686513400564174,BRA,0.2080146862223963
URY,2017,0.006387307377410808,0.019495639412498426,0.010884751680189472,0.008610887732308954,0.0032802186459188597,0.016215420766579565,BRA,0.2031153750091038
URY,2018,0.005523844811820326,0.01924559424570401,0.011976209068085377,0.007269385177618633,0.0032441948443130662,0.016001399401390944,BRA,0.1971721102238088
URY,2019,0.004433404421472668,0.016266070981030892,0.011716083962044965,0.0045499870189859275,0.011716083962044965,0.0045499870189859275,CHN,0.20263180410957973
URY,2020,-0.010054743637258615,-0.02354784508487848,0.005601639524217492,-0.02914948460909597,0.005601639524217492,-0.02914948460909597,CHN,0.25206340484172846
URY,2021,0.011923851385623341,0.0548811056210166,0.020938961045040214,0.033942144575976385,0.020938961045040214,0.033942144575976385,CHN,0.25778821345870523
URY,2022,0.006680592855080668,0.028243422286137052,0.009381312067793987,0.018862110218343067,0.009381312067793987,0.018862110218343067,CHN,0.2852514610344027
