ISO3,year,T_US,T_CN,CONN,BRIDGE,x_US,m_CN,GeoV_F,DIST
CAF,2005,0.03195551681276582,0.35787989443549084,0.16394363308578846,0.17617379568399397,0.05689369268306866,0.5455298262779523,0.31858070027708096,0.5949071693505293
CAF,2006,0.12463917326445904,0.10430028377489937,0.9111604013018032,0.11424582803044556,0.12567275850680845,0.10385790347440353,0.4276742899380493,0.8774714040978217
CAF,2007,0.09774828402403868,0.30365156028844426,0.4870369802532524,0.26077845258016624,0.17635406730127182,0.38561855913382487,0.36139743156008297,0.6190935507136661
CAF,2008,0.0422217586347308,0.3758921962159735,0.20196292491508397,0.15641240548169222,0.05839549158716967,0.41895084575235564,0.3231744772107352,0.5790134003476285
CAF,2009,0.12389151271882613,0.3283662723383268,0.5478800666888228,0.17719492454965452,0.016489513119801333,0.3823300161202592,0.3955698960192889,0.6456184766700485
CAF,2010,0.2827863807345772,0.39224640486828677,0.8378448773625831,0.33589637704684083,0.24181837565458317,0.46657486556917527,0.36574191703810166,0.6079130864181549
CAF,2011,0.03389135560441484,0.35608645070750017,0.17381171469695175,0.11204032477640609,0.03591626943006785,0.34357456128960356,0.34215343410651455,0.6439345717606362
CAF,2012,0.23548942595303865,0.4238179256087319,0.7143540122682088,0.32489746462104274,0.1011130471718343,0.46500820426763945,0.3316962294539522,0.5274718571596344
CAF,2013,0.07884669993505602,0.3933234880016696,0.33397576530444606,0.20840868167636342,0.00048285170534480515,0.39125586129292383,0.3481053104878753,0.5672805987390024
CAF,2014,0.09678428468809025,0.39136193620899334,0.3965380885679145,0.21532523553668714,0.0009506556162023908,0.3874000255789302,0.36775401185607814,0.6086770127545504
CAF,2015,0.11382739798179432,0.4802362554135062,0.38321616658830177,0.20844514938043385,0.0011537231173717084,0.51550449219439,0.40547824672419985,0.5661195649261538
CAF,2016,0.10806611322029762,0.3782019715613325,0.4444713383516716,0.28179655825533784,0.0,0.32189790433232485,0.372731514670704,0.5548178072134717
CAF,2017,0.04629434406947258,0.36791007603627784,0.2235338003281239,0.1538736924669279,0.004322581994143817,0.3734395341817163,0.35152356425500086,0.5796035762508527
CAF,2018,0.05989107001261191,0.5220140986505603,0.20584477759563957,0.1970470321404187,0.008991877378511315,0.5140297531405243,0.2797216292442172,0.4091284024529124
CAF,2019,0.21938098891516153,0.5652855420418006,0.5591699919903791,0.486226176851792,0.010079203442962033,0.49326134205830635,0.3450192708958093,0.4174326012909174
CAF,2020,0.0365684798417761,0.5680565026568868,0.1209625169329055,0.1539286799282197,0.0021991097833965823,0.565268126888036,0.25329721048475984,0.39579045859886164
CAF,2021,0.051240929845122844,0.6831113735178563,0.1395540794533199,0.19839842347524633,0.0016235817094391659,0.6828037459536711,0.2146094518535988,0.28280732636984063
CAF,2022,0.179853156100354,0.6728474274185929,0.4218436332203065,0.37715775009426816,0.10729912323318963,0.6611183590888905,0.2768612501336361,0.3234686356564961
CAF,2023,0.15394173011631063,0.6659046180720987,0.37553800283790056,0.37363884749176984,0.06087373283735865,0.6403523638805401,0.2417001866194663,0.3251761342665341
CHL,1990,0.31086460455373277,0.27210820694073523,0.9335193737189144,0.3458584837005826,0.3270334481193775,0.3657671453349376,0.4608009839322608,0.6974495929282533
CHL,1991,0.2980741242172957,0.2639702149263835,0.9393216746157923,0.31734395563773843,0.3017111032710045,0.33378680826787205,0.4293885777538804,0.4784092062954816
CHL,1992,0.28489811841522383,0.26259000089317514,0.9592536956779467,0.3049401669734094,0.2932803633085317,0.31706352373802354,0.3941117474014252,0.45806210919369683
CHL,1993,0.4219789686140093,0.24438088928246252,0.7334802250961235,0.34785553972625183,0.4269064948254085,0.2834425757980764,0.4573601543217849,0.6993334492316728
CHL,1994,0.40945352019238745,0.24183957447312618,0.7426443684231855,0.3199941026007273,0.4042270710349414,0.25331362750416503,0.4641737846344789,0.7016241100304456
CHL,1995,0.29385042773339215,0.2402476097251615,0.8996386164171399,0.27400992327801754,0.26891640365784575,0.2460556926330631,0.43793163090543713,0.690032881358269
CHL,1996,0.2915621087736716,0.27598166538845015,0.9725475917549739,0.2834842995685762,0.2722272616313261,0.2898680223773437,0.4060091984469757,0.5850785361645094
CHL,1997,0.2902069915154783,0.2793220928567044,0.9808878967598769,0.28553786659835106,0.27796119569766925,0.28674263314638676,0.3986350843633133,0.47756518661975644
CHL,1998,0.2552584763923781,0.3639960040478645,0.8244057474106892,0.31101266593590254,0.25035304943118036,0.3863698828208088,0.3627378349000198,0.454223863517275
CHL,1999,0.25882062073247286,0.3651480422293109,0.8295949335145533,0.347512009388831,0.27474723275306673,0.43954800002663524,0.37175177110566315,0.4864523387101787
CHL,2000,0.2328652744448976,0.41082704565070993,0.723529758473148,0.3482729776093093,0.24676316044705868,0.4915404175935625,0.3520009746676396,0.4437454946837268
CHL,2001,0.239106208041892,0.41911844865437714,0.7265185392537644,0.3730782459620687,0.27585907219493505,0.5045597250170458,0.348792781259088,0.454864660774426
