变体,检验,b,se,p,N,国家数
E2 C → BTI（学习+执行+协调）,H2 D×C,0.00030266992929024153,0.004166053499086919,0.9420910117771313,2069,115
E2 C → BTI（学习+执行+协调）,H3 D×P,0.011494130712019346,0.004498944346815968,0.010943518876422642,540,51
E2 C → BTI（学习+执行+协调）,H4 S,0.004325074954624302,0.002026716389511928,0.03299940085740527,1677,110
E2 C → BTI（学习+执行+协调）,Y1 D_投资×C,-0.002927982793353474,0.007783453688208569,0.7068252248580966,2015,111
E2 C → BTI 政策学习单项,H1 D,0.004421883768525191,0.00299183448754002,0.13950726767564303,3465,117
E2 C → BTI 政策学习单项,H2 D×C,0.001435987205739192,0.003017516376158297,0.6342111533630272,2069,115
E2 C → BTI 政策学习单项,H3 D×P,0.011622282050687433,0.0045015804871765845,0.010135586216151848,540,51
E2 C → BTI 政策学习单项,H4 S,0.004325074954624302,0.002026716389511928,0.03299940085740527,1677,110
E2 C → BTI 政策学习单项,Y1 D_投资×C,-0.0008287133915275193,0.0068934877072363105,0.9043242141360879,2015,111
E2 P → 全行业限制 P_total,H1 D,0.004421883768525191,0.00299183448754002,0.13950726767564303,3465,117
E2 P → 全行业限制 P_total,H2 D×C,-0.0010440138926035045,0.002864121165122952,0.7155296839307841,1514,111
E2 P → 全行业限制 P_total,H3 D×P,0.00495026121589164,0.00623902457719911,0.42802476344018237,452,51
E2 P → 全行业限制 P_total,H4 S,0.004325074954624302,0.002026716389511928,0.03299940085740527,1677,110
E2 P → 全行业限制 P_total,Y1 D_投资×C,0.004417152287604269,0.008746361426370105,0.6136215875252751,1485,109
E2 P → 审查审批 P_screen,H1 D,0.004421883768525191,0.00299183448754002,0.13950726767564303,3465,117
E2 P → 审查审批 P_screen,H2 D×C,-0.0010440138926035045,0.002864121165122952,0.7155296839307841,1514,111
E2 P → 审查审批 P_screen,H3 D×P,-0.004390242962898576,0.007286506156404947,0.5471933229390116,452,51
E2 P → 审查审批 P_screen,H4 S,0.004325074954624302,0.002026716389511928,0.03299940085740527,1677,110
E2 P → 审查审批 P_screen,Y1 D_投资×C,0.004417152287604269,0.008746361426370105,0.6136215875252751,1485,109
E2 P → 资本账户 P_ka,H1 D,0.004421883768525191,0.00299183448754002,0.13950726767564303,3465,117
E2 P → 资本账户 P_ka,H2 D×C,-0.0010440138926035045,0.002864121165122952,0.7155296839307841,1514,111
E2 P → 资本账户 P_ka,H3 D×P,-0.0012408653631701414,0.005577090483875252,0.8239635054326224,1485,109
E2 P → 资本账户 P_ka,H4 S,0.004325074954624302,0.002026716389511928,0.03299940085740527,1677,110
E2 P → 资本账户 P_ka,Y1 D_投资×C,0.004417152287604269,0.008746361426370105,0.6136215875252751,1485,109
E2 S → −SD 口径（控制总增幅）,H1 D,0.004421883768525191,0.00299183448754002,0.13950726767564303,3465,117
E2 S → −SD 口径（控制总增幅）,H2 D×C,-0.0010440138926035045,0.002864121165122952,0.7155296839307841,1514,111
E2 S → −SD 口径（控制总增幅）,H3 D×P,0.006172629416713149,0.006071443462642876,0.309966135039788,452,51
E2 S → −SD 口径（控制总增幅）,H4 S,0.005005171828414314,0.0038329567352331406,0.19170286121859448,3465,117
E2 S → −SD 口径（控制总增幅）,Y1 D_投资×C,0.004417152287604269,0.008746361426370105,0.6136215875252751,1485,109
剔除 DB 数据违规 4 国,H1 D,0.0033606434075031904,0.003090589620648562,0.2769506699310331,3371,114
剔除 DB 数据违规 4 国,H2 D×C,-0.00175417423721764,0.002872831251236019,0.5415625594984597,1472,108
剔除 DB 数据违规 4 国,H3 D×P,0.00618108259149042,0.006028811977871534,0.30594193712094775,427,48
剔除 DB 数据违规 4 国,H4 S,0.005368463898907879,0.0019674359177871206,0.006435204448654419,1615,107
