ISO3,year,D_US,D_EU,D_ON,D_S
KEN,2012,0.0,2.4589774078478,0.0,3.7586206896551726
KNA,2012,0.0,5.999999999994,0.0,4.50753939612502
LBN,2012,0.0,2.4690265486725664,3.999999999996,3.4139589059316524
LCA,2012,0.0,5.999999999994,0.0,4.50753939612502
LIE,2012,0.0,6.0,6.0,0.0
LTU,2012,0.0,6.0,2.3307182387642156,6.0
LUX,2012,0.0,6.0,0.0,0.0
LVA,2012,0.0,6.0,2.7643374080155687,6.0
MCO,2012,0.0,0.0,0.0,0.0
MDG,2012,0.0,0.0,0.0,3.0
MKD,2012,0.0,2.5396825396825395,2.999999999997,5.9999999999997
MLT,2012,0.0,6.0,0.0,6.0
MNE,2012,0.0,2.999999999997,2.999999999997,5.999999999999
MSR,2012,0.0,3.999999999996,0.0,4.50753939612502
MUS,2012,0.0,0.0,0.0,4.999999999998
NCL,2012,0.0,3.999999999996,0.0,0.0
NLD,2012,0.0,6.0,0.0,0.0
NOR,2012,0.0,6.0,6.0,0.0
PAK,2012,0.0,0.0,0.0,4.999999999999
PCN,2012,0.0,3.999999999996,0.0,0.0
PHL,2012,0.0,0.0,4.999999999999,5.507936507935508
PNG,2012,0.0,0.0,0.5079365079365079,1.999999999998
POL,2012,0.0,6.0,0.0,6.0
PRT,2012,0.0,6.0,0.0,0.0
PYF,2012,0.0,3.999999999996,0.0,0.0
ROU,2012,0.0,6.0,0.0,6.0
SMR,2012,0.0,0.0,0.0,0.0
SPM,2012,0.0,3.999999999996,0.0,0.0
SRB,2012,0.0,0.0,4.517241379308862,5.999999999999
SUR,2012,0.0,5.999999999994,0.0,4.5046034000474915
SVK,2012,0.0,6.0,0.0,6.0
SVN,2012,0.0,6.0,2.275862068965517,6.0
SWE,2012,0.0,6.0,0.0,0.0
SYC,2012,0.0,0.0,0.0,2.9999999999979416
SYR,2012,0.0,0.0,0.0,3.7578735197757895
TCA,2012,0.0,3.999999999996,0.0,0.0
TTO,2012,0.0,5.999999999994,0.0,4.507129474255123
TUN,2012,0.0,2.999999999997,2.999999999997,4.758620689655114
TUR,2012,0.0,3.999999999998,0.0,5.999999999999
TZA,2012,0.0,2.4589774078478,0.0,4.999999999998758
UGA,2012,0.0,2.4589774078478,0.0,3.7586206896551726
URY,2012,0.0,0.0,0.0,6.0
VCT,2012,0.0,5.999999999994,0.0,4.50753939612502
WLF,2012,0.0,3.999999999996,0.0,0.0
ZAF,2012,0.0,2.999999999997,1.999999999998,4.999999999999
ZWE,2012,0.0,0.0,0.0,4.999999999999
ABW,2013,0.0,3.999999999996,0.0,0.0
AIA,2013,0.0,3.999999999996,0.0,0.0
ALB,2013,0.0,3.0476190476190474,5.2920353982289114,5.999999999998996
AND,2013,0.0,0.0,0.0,0.0
ATG,2013,0.0,5.999999999994,0.0,4.50753939612502
AUT,2013,0.0,6.0,0.0,0.0
BEL,2013,0.0,6.0,0.0,0.0
BGR,2013,0.0,6.0,0.0,6.0
BHS,2013,0.0,5.999999999994,0.0,4.507129474255121
BLZ,2013,0.0,5.999999999994,0.0,4.507837516279103
BMU,2013,0.0,3.999999999996,0.0,0.0
BRA,2013,0.0,0.0,0.0,6.0
BRB,2013,0.0,5.999999999994,0.0,4.507129474255123
CHE,2013,0.0,6.0,6.0,0.0
CIV,2013,0.0,1.6460176991150441,0.0,3.8812260536383545
CYM,2013,0.0,3.999999999996,0.0,0.0
CYP,2013,0.0,6.0,0.0,6.0
CZE,2013,0.0,6.0,0.0,6.0
DEU,2013,0.0,6.0,0.0,0.0
DMA,2013,0.0,5.999999999994,0.0,4.50753939612502
DNK,2013,0.0,6.0,0.0,0.0
DZA,2013,0.0,3.0344827586206895,0.0,3.9810944227887424
EGY,2013,0.0,3.458650401340786,3.999999999996,4.994455598700778
ESP,2013,0.0,6.0,0.0,0.0
EST,2013,0.0,6.0,2.6930637217194318,6.0
FIN,2013,0.0,6.0,0.0,0.0
FJI,2013,0.0,0.0,0.5079365079365079,1.999999999998
FRA,2013,0.0,6.0,0.0,0.0
FRO,2013,0.0,2.388794906556567,4.999999999998016,1.7578735197782818
GBR,2013,0.0,6.0,0.0,0.0
GRC,2013,0.0,6.0,0.0,0.0
GRD,2013,0.0,5.999999999994,0.0,4.50753939612502
GRL,2013,0.0,3.999999999996,0.0,0.0
GUY,2013,0.0,5.999999999994,0.0,4.507129474255123
HRV,2013,0.0,5.999999999999016,3.2920353982300883,6.0
HTI,2013,0.0,5.999999999994,0.0,2.999999999997
HUN,2013,0.0,6.0,0.0,6.0
IND,2013,0.0,0.0,3.999999999996,4.999999999999
IRL,2013,0.0,6.0,0.0,0.0
ISL,2013,0.0,6.0,6.0,0.0
ITA,2013,0.0,6.0,0.0,0.0
JAM,2013,0.0,5.999999999994,0.0,4.507129474255123
KEN,2013,0.0,2.4589774078478,0.0,3.7586206896551726
KNA,2013,0.0,5.999999999994,0.0,4.50753939612502
LBN,2013,0.0,2.4690265486725664,3.999999999996,3.4913033040418435
LCA,2013,0.0,5.999999999994,0.0,4.50753939612502
LIE,2013,0.0,6.0,6.0,0.0
LTU,2013,0.0,6.0,2.3307182387642156,6.0
LUX,2013,0.0,6.0,0.0,0.0
LVA,2013,0.0,6.0,2.7643374080155687,6.0
MCO,2013,0.0,0.0,0.0,0.0
MDG,2013,0.0,0.0,0.0,3.0
MKD,2013,0.0,2.5396825396825395,2.999999999997,5.999999999999853
MLT,2013,0.0,6.0,0.0,6.0
MNE,2013,0.0,2.999999999997,2.999999999997,6.0
MSR,2013,0.0,3.999999999996,0.0,4.50753939612502
MUS,2013,0.0,0.0,0.0,4.999999999999
NCL,2013,0.0,3.999999999996,0.0,0.0
NLD,2013,0.0,6.0,0.0,0.0
NOR,2013,0.0,6.0,6.0,0.0
PAK,2013,0.0,0.0,0.0,4.999999999999
PCN,2013,0.0,3.999999999996,0.0,0.0
PHL,2013,0.0,0.0,4.999999999999,5.507936507935508
PNG,2013,0.0,0.0,0.5079365079365079,1.999999999998
POL,2013,0.0,6.0,0.0,6.0
PRT,2013,0.0,6.0,0.0,0.0
PYF,2013,0.0,3.999999999996,0.0,0.0
ROU,2013,0.0,6.0,0.0,6.0
SMR,2013,0.0,0.0,0.0,0.0
SPM,2013,0.0,3.999999999996,0.0,0.0
SRB,2013,0.0,5.264033264033264,4.517241379308862,5.999999999999
SUR,2013,0.0,5.999999999994,0.0,4.5046034000474915
SVK,2013,0.0,6.0,0.0,6.0
SVN,2013,0.0,6.0,2.275862068965517,6.0
SWE,2013,0.0,6.0,0.0,0.0
SYC,2013,0.0,0.0,0.0,2.9999999999979416
SYR,2013,0.0,0.0,0.0,3.7578735197757895
TCA,2013,0.0,3.999999999996,0.0,0.0
TTO,2013,0.0,5.999999999994,0.0,4.507129474255123
TUN,2013,0.0,2.999999999997,2.999999999997,4.758620689655114
TUR,2013,0.0,3.999999999998,0.0,5.999999999999
TZA,2013,0.0,2.4589774078478,0.0,4.999999999998758
UGA,2013,0.0,2.4589774078478,0.0,3.7586206896551726
URY,2013,0.0,0.0,0.0,6.0
VCT,2013,0.0,5.999999999994,0.0,4.50753939612502
WLF,2013,0.0,3.999999999996,0.0,0.0
ZAF,2013,0.0,2.999999999997,1.999999999998,4.999999999999
ZWE,2013,0.0,0.0,0.0,4.999999999999
ABW,2014,0.0,3.999999999996,0.0,0.0
AIA,2014,0.0,3.999999999996,0.0,0.0
ALB,2014,0.0,3.0476190476190474,5.2920353982289114,5.999999999998996
AND,2014,0.0,0.0,0.0,0.0
ATG,2014,0.0,5.999999999994,0.0,4.50753939612502
AUT,2014,0.0,6.0,0.0,0.0
BEL,2014,0.0,6.0,0.0,0.0
BGR,2014,0.0,6.0,0.0,6.0
BHS,2014,0.0,5.999999999994,0.0,4.507129474255121
BLZ,2014,0.0,5.999999999994,0.0,4.507837516279103
BMU,2014,0.0,3.999999999996,0.0,0.0
BRA,2014,0.0,0.0,0.0,6.0
BRB,2014,0.0,5.999999999994,0.0,4.507129474255123
CHE,2014,0.0,6.0,6.0,0.0
CIV,2014,0.0,1.6460176991150441,0.0,3.8812260536383545
CYM,2014,0.0,3.999999999996,0.0,0.0
CYP,2014,0.0,6.0,0.0,6.0
CZE,2014,0.0,6.0,0.0,6.0
DEU,2014,0.0,6.0,0.0,0.0
DMA,2014,0.0,5.999999999994,0.0,4.50753939612502
DNK,2014,0.0,6.0,0.0,0.0
DZA,2014,0.0,3.0344827586206895,0.0,3.9810944227887424
EGY,2014,0.0,3.458650401340786,3.999999999996,4.994455598700778
ESP,2014,0.0,6.0,0.0,0.0
EST,2014,0.0,6.0,2.6930637217194318,6.0
FIN,2014,0.0,6.0,0.0,0.0
FJI,2014,0.0,0.0,0.5079365079365079,1.999999999998
FRA,2014,0.0,6.0,0.0,0.0
FRO,2014,0.0,2.388794906556567,4.999999999998016,1.7578735197782818
GBR,2014,0.0,6.0,0.0,0.0
GRC,2014,0.0,6.0,0.0,0.0
GRD,2014,0.0,5.999999999994,0.0,4.50753939612502
GRL,2014,0.0,3.999999999996,0.0,0.0
GUY,2014,0.0,5.999999999994,0.0,4.507129474255123
HRV,2014,0.0,5.999999999999016,3.2920353982300883,6.0
HTI,2014,0.0,5.999999999994,0.0,2.999999999997
HUN,2014,0.0,6.0,0.0,6.0
IND,2014,0.0,0.0,3.999999999996,4.999999999999
IRL,2014,0.0,6.0,0.0,0.0
ISL,2014,0.0,6.0,6.0,0.0
ITA,2014,0.0,6.0,0.0,0.0
