ISO3,year,GeoV,GeoC,n_partners
SDN,2013,0.9196830540502012,0.8734533443930946,58.0
SDN,2014,0.6578407546584695,0.6845167856443725,59.0
SDN,2015,1.0089638909520366,0.6536628710946266,60.0
SDN,2016,0.5397710251509998,0.5930713739657737,50.0
SDN,2017,0.8663778514226705,0.5821899372746193,60.0
SDN,2018,0.578174197588329,0.6262840693107742,58.0
SDN,2019,0.6898430036566853,0.6146727134575971,57.0
SDN,2020,0.6136547079867022,0.5440390183711683,56.0
SDN,2021,0.46672126452131146,0.4561502172810977,59.0
SDN,2022,0.24996192260857425,0.5207654544009022,53.0
SDN,2023,0.5577851017114226,0.44332407572399596,22.0
SEN,1990,1.661101252777087,1.2613700045615364,58.0
SEN,1991,1.62333186180042,1.2047130924283571,68.0
SEN,1992,1.3665747938573531,1.2291308009162676,63.0
SEN,1993,1.5311559514152846,1.2533243198676025,81.0
SEN,1994,1.385127340143068,1.197343100613723,83.0
SEN,1995,1.2710125877523457,1.05218258106393,71.0
SEN,1996,1.3164027872113007,1.0632834974600713,69.0
SEN,1997,1.3247761900068016,1.1203407969702,71.0
SEN,1998,1.002173406144757,1.0980943787886241,68.0
SEN,1999,1.0525662004822514,1.0826709131828307,77.0
SEN,2000,1.070276279812102,1.0806915826861614,74.0
SEN,2001,1.0303066335967739,1.1193580361941986,68.0
SEN,2002,0.9355931684079852,1.057429095022963,71.0
SEN,2003,0.9612682037477378,1.0833038841510945,77.0
SEN,2004,0.9040603039209271,1.0989202149443993,114.0
SEN,2005,0.8567337649895419,1.1376468743252222,112.0
SEN,2006,0.8088313709777986,1.1258749210878334,115.0
SEN,2007,0.8603854806055703,1.1573947920213095,127.0
SEN,2008,0.6516464976221763,1.090359609318305,130.0
SEN,2009,0.7840695456960567,1.1713932629221793,122.0
SEN,2010,0.6187330411987602,1.0121730343057307,126.0
SEN,2011,0.6053372184945727,0.8762688719076797,128.0
SEN,2012,0.5936412325516645,1.009679183681601,129.0
SEN,2013,0.6056586413810997,1.0244933095947757,125.0
SEN,2014,0.7317211797823235,1.091885473664516,135.0
SEN,2015,0.7954592599593586,1.0294639617520667,124.0
SEN,2016,0.7038176834938015,1.0815248563076538,133.0
SEN,2017,0.7218524831935915,1.0489576379153247,123.0
SEN,2018,0.6423558520154132,1.0801890744045526,128.0
SEN,2019,0.7716679635810779,1.063561712881656,138.0
SEN,2020,0.7928505742276767,1.1066450692722318,128.0
SEN,2021,0.7830292380606975,1.046899447892271,118.0
SEN,2022,0.8093353684611582,1.0007245237266724,130.0
SEN,2023,0.7101853013049608,1.091930812418957,133.0
