ISO3,year,s_US,s_CN,s_MID,BAL,p_own
SAU,2015,0.1169079811078361,0.7018463327095614,0.18124568618260242,0.28557524310988724,-0.2497935045745617
SAU,2016,0.11690854656953746,0.5468230150767961,0.33626843835366643,0.35227659290317637,-0.10774896862096005
SAU,2017,0.09327670944599724,0.5502777454086708,0.35644554514533194,0.2898797723871297,-0.08527711327245395
SAU,2018,0.09718004516541692,0.5375424463741215,0.36527750846046153,0.30621270385331334,-0.05840118981990451
SAU,2019,0.06235607574080874,0.6078582634175818,0.3297856608416095,0.18607801145857683,-0.024108823569168422
SAU,2020,0.05503367403023056,0.6205952148761984,0.324371111093571,0.16291095580388196,0.006640457586295757
SAU,2021,0.06148483907920675,0.6247645663055045,0.31375059461528876,0.17919094310832479,-0.0012471924716432382
SAU,2022,0.09897658794594937,0.5812366878048049,0.3197867242492458,0.2910163370060912,0.10731756407487382
SAU,2023,0.08243729314489302,0.598406043563661,0.31915666329144593,0.2421622969637188,0.012445515688376445
SDN,1990,0.12497836854800079,0.4746649291626897,0.40035670228930953,0.41684237620979475,-0.24145759883450127
SDN,1991,0.13411377002632377,0.49727221546279027,0.3686140145108859,0.42482339839212685,-0.3140965677220565
SDN,1992,0.15489481312915415,0.5337546914500108,0.3113504954208351,0.44985093897311573,-0.33588443401456314
SDN,1993,0.3744448577462775,0.4655131398342197,0.16004200241950278,0.8915799571523043,-0.08735323174176089
SDN,1994,0.38150402620727053,0.4312718821456381,0.18722409164709136,0.9387680473462577,-0.08027162930786975
SDN,1995,0.11803299467087679,0.5122454925428841,0.36972151278623916,0.37454235568997146,-0.08297003886936187
SDN,1996,0.10278402744330659,0.578353988919159,0.3188619836375344,0.3018008831520288,-0.09741460717209767
SDN,1997,0.10988633058876386,0.4764143192029949,0.4136993502082413,0.37484635443536723,-0.12039043416828182
SDN,1998,0.03762346484230848,0.5129224371879965,0.449454097969695,0.13667694084566082,-0.3124395743574531
SDN,1999,0.012891794521632713,0.5492926844871509,0.43781552099121634,0.04586321751309428,-0.25643544656959455
SDN,2000,0.039482026631584156,0.8029112601147909,0.15760671325362502,0.09373775231300312,-0.22879290758142437
SDN,2001,0.0370249235618729,0.8167380372965227,0.14623703914160435,0.08673349690562136,-0.30147528827732467
SDN,2002,0.06294919900089857,0.8432440998801313,0.0938067011189701,0.13893106267421845,-0.3434577492300596
SDN,2003,0.04117804963340671,0.8060565437554739,0.15276540661111943,0.09720577973261768,0.0027826403460841104
SDN,2004,0.0007617815126618388,0.8379434239741482,0.1612947945131899,0.001816565600590681,-0.05965426642755709
SDN,2005,0.002572864595826839,0.833677487037767,0.16374964836640618,0.00615333575836665,-0.1336395042712032
SDN,2006,0.003558819601307683,0.4929026844663295,0.5035384959323629,0.014336739393283691,-0.15407445623550073
SDN,2007,0.02427329937069224,0.33531612095171304,0.6404105796775947,0.13500563697857948,-0.2785942020184298
SDN,2008,0.02831727796034112,0.46239543508877085,0.5092872869508881,0.1154128564731399,-0.24509629141785017
SDN,2009,0.22306287503261152,0.6357565619516786,0.1411805630157098,0.5194639651284275,-0.31660905272045076
SDN,2010,0.04294732782535877,0.777865671195942,0.17918700097869922,0.10464582767711321,-0.16850975456637693
SDN,2011,0.0138326224376548,0.8034779886097527,0.18268938895259249,0.033849119907859486,-0.13099104403062015
SDN,2012,0.04591533753008667,0.9350045120039067,0.019080150466006647,0.09361689959052152,-0.08504507003254327
SDN,2013,0.0652634606161516,0.8636420228823241,0.07109451650152429,0.14051690247398285,-0.30133980949316164
