ISO3,year,D_N,D_S
ARM,2018,5.999999999994,6.0
ARM,2019,5.999999999994,6.0
ARM,2020,5.999999999994,6.0
ARM,2021,5.999999999994,6.0
ARM,2022,5.999999999994,6.0
ATG,1989,0.0,3.5079365079342666
ATG,1990,0.0,3.5079365079342666
ATG,1991,0.0,3.5079365079342666
ATG,1992,0.0,3.5079365079342666
ATG,1993,0.0,3.75787351977604
ATG,1994,0.0,3.75787351977604
ATG,1995,0.0,3.880858398618818
ATG,1996,0.0,3.880858398618818
ATG,1997,0.0,3.8808583986197593
ATG,1998,0.0,3.8808583986197593
ATG,1999,0.0,3.8808583986197593
ATG,2000,0.0,3.8808583986197593
ATG,2001,0.0,4.479089171345559
ATG,2002,0.0,4.479089171345559
ATG,2003,0.0,4.479089171345559
ATG,2004,0.0,4.479089171345559
ATG,2005,0.0,4.505692826201603
ATG,2006,0.0,4.50753939612502
ATG,2007,0.0,4.50753939612502
ATG,2008,5.999999999994,4.50753939612502
ATG,2009,5.999999999994,4.50753939612502
ATG,2010,5.999999999994,4.50753939612502
ATG,2011,5.999999999994,4.50753939612502
ATG,2012,5.999999999994,4.50753939612502
ATG,2013,5.999999999994,4.50753939612502
ATG,2014,5.999999999994,4.50753939612502
ATG,2015,5.999999999994,4.50753939612502
ATG,2016,5.999999999994,4.50753939612502
ATG,2017,5.999999999994,4.50753939612502
ATG,2018,5.999999999994,4.50753939612502
ATG,2019,5.999999999994,4.50753939612502
ATG,2020,5.999999999994,4.50753939612502
ATG,2021,6.0,4.50753939612502
ATG,2022,6.0,4.50753939612502
AUS,1989,2.146668426335849,0.0
AUS,1990,2.146668426335849,0.0
AUS,1991,2.146668426335849,0.0
AUS,1992,2.146668426335849,0.0
AUS,1993,2.146668426335849,0.0
AUS,1994,2.146668426335849,0.0
AUS,1995,2.146668426335849,0.0
AUS,1996,2.146668426335849,0.0
AUS,1997,2.146668426335849,0.0
AUS,1998,2.146668426335849,0.0
AUS,1999,2.146668426335849,0.0
AUS,2000,2.146668426335849,0.0
AUS,2001,2.146668426335849,0.0
AUS,2002,2.146668426335849,0.0
AUS,2003,5.75787351977467,0.0
AUS,2004,5.75787351977467,0.0
AUS,2005,5.999999999999758,0.0
AUS,2006,5.999999999999758,0.0
AUS,2007,5.999999999999758,0.0
AUS,2008,5.999999999999758,0.0
AUS,2009,6.0,0.0
AUS,2010,6.0,0.0
AUS,2011,6.0,0.0
AUS,2012,6.0,0.0
AUS,2013,6.0,0.0
AUS,2014,6.0,0.0
AUS,2015,6.0,0.0
AUS,2016,6.0,0.0
AUS,2017,6.0,0.0
AUS,2018,6.0,0.0
AUS,2019,6.0,0.0
AUS,2020,6.0,0.0
AUS,2021,6.0,0.0
AUS,2022,6.0,0.0
AUT,1989,6.0,0.0
AUT,1990,6.0,0.0
AUT,1991,6.0,0.0
AUT,1992,6.0,0.0
AUT,1993,6.0,0.0
AUT,1994,6.0,0.0
AUT,1995,6.0,0.0
AUT,1996,6.0,0.0
AUT,1997,6.0,0.0
AUT,1998,6.0,0.0
AUT,1999,6.0,0.0
AUT,2000,6.0,0.0
AUT,2001,6.0,0.0
AUT,2002,6.0,0.0
AUT,2003,6.0,0.0
AUT,2004,6.0,0.0
AUT,2005,6.0,0.0
AUT,2006,6.0,0.0
AUT,2007,6.0,0.0
AUT,2008,6.0,0.0
AUT,2009,6.0,0.0
AUT,2010,6.0,0.0
AUT,2011,6.0,0.0
AUT,2012,6.0,0.0
AUT,2013,6.0,0.0
AUT,2014,6.0,0.0
AUT,2015,6.0,0.0
AUT,2016,6.0,0.0
AUT,2017,6.0,0.0
AUT,2018,6.0,0.0
AUT,2019,6.0,0.0
AUT,2020,6.0,0.0
AUT,2021,6.0,0.0
AUT,2022,6.0,0.0
AZE,1993,0.0,0.999999999999
AZE,1994,0.0,1.7586206896541725
AZE,1995,0.0,1.7586206896541725
AZE,1996,0.0,3.9999999999977587
AZE,1997,0.0,3.9999999999977587
AZE,1998,0.0,3.9999999999977587
AZE,1999,0.0,3.9999999999977587
AZE,2000,0.0,3.9999999999977587
AZE,2001,0.0,3.9999999999977587
AZE,2002,0.0,3.9999999999977587
AZE,2003,0.0,4.999999999997
AZE,2004,0.0,4.999999999997
AZE,2005,0.0,4.999999999997
AZE,2006,0.0,4.999999999997
AZE,2007,0.0,4.999999999997
AZE,2008,0.0,4.999999999997
AZE,2009,0.0,4.999999999997
AZE,2010,0.0,4.999999999997
AZE,2011,0.0,4.999999999997
AZE,2012,0.0,4.999999999997
AZE,2013,0.0,4.999999999997
AZE,2014,0.0,4.999999999997
AZE,2015,0.0,4.999999999997
AZE,2016,0.0,4.999999999997
AZE,2017,0.0,4.999999999997
AZE,2018,0.0,4.999999999997
AZE,2019,0.0,4.999999999997
AZE,2020,0.0,4.999999999997
AZE,2021,0.0,4.999999999997
AZE,2022,0.0,4.999999999997
BDI,1989,0.0,2.275862068965517
BDI,1990,0.0,2.275862068965517
BDI,1991,0.0,2.275862068965517
BDI,1992,0.0,2.275862068965517
BDI,1993,0.0,2.275862068965517
BDI,1994,0.0,3.7586206896538723
BDI,1995,0.0,3.7586206896538723
BDI,1996,0.0,3.7586206896538723
BDI,1997,0.0,3.7586206896538723
BDI,1998,0.0,3.7586206896538723
BDI,1999,0.0,3.7586206896551726
BDI,2000,0.0,3.7586206896551726
BDI,2001,0.0,3.7586206896551726
BDI,2002,0.0,3.7586206896551726
BDI,2003,0.0,3.7586206896551726
BDI,2004,0.0,3.7586206896551726
BDI,2005,0.0,3.7586206896551726
BDI,2006,0.0,3.7586206896551726
BDI,2007,0.0,3.7586206896551726
BDI,2008,0.0,3.7586206896551726
BDI,2009,0.0,3.7586206896551726
BDI,2010,0.0,3.7586206896551726
BDI,2011,0.0,3.7586206896551726
BDI,2012,0.0,3.7586206896551726
BDI,2013,0.0,3.7586206896551726
BDI,2014,0.0,3.7586206896551726
BDI,2015,0.0,3.7586206896551726
BDI,2016,0.0,3.7586206896551726
BDI,2017,0.0,3.7586206896551726
BDI,2018,0.0,3.7586206896551726
BDI,2019,0.0,3.7586206896551726
BDI,2020,0.0,3.9999999999997584
BDI,2021,0.0,3.9999999999997584
BDI,2022,0.0,3.9999999999997584
BEL,1989,6.0,0.0
BEL,1990,6.0,0.0
BEL,1991,6.0,0.0
BEL,1992,6.0,0.0
BEL,1993,6.0,0.0
BEL,1994,6.0,0.0
BEL,1995,6.0,0.0
BEL,1996,6.0,0.0
BEL,1997,6.0,0.0
BEL,1998,6.0,0.0
BEL,1999,6.0,0.0
BEL,2000,6.0,0.0
BEL,2001,6.0,0.0
BEL,2002,6.0,0.0
BEL,2003,6.0,0.0
BEL,2004,6.0,0.0
BEL,2005,6.0,0.0
BEL,2006,6.0,0.0
BEL,2007,6.0,0.0
BEL,2008,6.0,0.0
BEL,2009,6.0,0.0
BEL,2010,6.0,0.0
BEL,2011,6.0,0.0
BEL,2012,6.0,0.0
BEL,2013,6.0,0.0
BEL,2014,6.0,0.0
BEL,2015,6.0,0.0
BEL,2016,6.0,0.0
BEL,2017,6.0,0.0
BEL,2018,6.0,0.0
BEL,2019,6.0,0.0
BEL,2020,6.0,0.0
BEL,2021,6.0,0.0
BEL,2022,6.0,0.0
BEN,1989,0.0,0.0
BEN,1990,0.0,0.0
BEN,1991,0.0,0.0
BEN,1992,0.0,0.0
BEN,1993,0.0,1.999999999998
BEN,1994,0.0,3.389162561574355
BEN,1995,0.0,3.389162561574355
BEN,1996,0.0,3.389162561574355
BEN,1997,0.0,3.389162561574355
BEN,1998,0.0,3.389162561574355
BEN,1999,0.0,3.389162561574355
BEN,2000,0.0,3.8812260536383545
BEN,2001,0.0,3.8812260536383545
BEN,2002,0.0,3.8812260536383545
BEN,2003,0.0,3.8812260536383545
BEN,2004,0.0,3.8812260536383545
BEN,2005,0.0,3.8812260536383545
BEN,2006,0.0,3.8812260536383545
BEN,2007,0.0,3.8812260536383545
BEN,2008,0.0,3.8812260536383545
BEN,2009,0.0,3.8812260536383545
BEN,2010,0.0,3.8812260536383545
BEN,2011,0.0,3.8812260536383545
BEN,2012,0.0,3.8812260536383545
BEN,2013,0.0,3.8812260536383545
BEN,2014,0.0,3.8812260536383545
BEN,2015,0.0,3.8812260536383545
BEN,2016,0.0,3.8812260536383545
BEN,2017,0.0,3.8812260536383545
BEN,2018,0.0,3.8812260536383545
BEN,2019,0.0,3.8812260536383545
BEN,2020,0.0,3.999999999999389
BEN,2021,0.0,3.999999999999389
BEN,2022,0.0,3.999999999999389
BFA,1989,0.0,0.0
BFA,1990,0.0,0.0
BFA,1991,0.0,0.0
BFA,1992,0.0,0.0
BFA,1993,0.0,1.999999999998
BFA,1994,0.0,3.389162561574355
BFA,1995,0.0,3.389162561574355
BFA,1996,0.0,3.389162561574355
BFA,1997,0.0,3.389162561574355
