ISO3,S_sd,S_jump,D_rise,D_1990,D_2020
DJI,-0.42823194548125654,0.3085106382978724,3.2413793103448274,0.7586206896551724,4.0
DMA,-0.2818881506030425,0.40111453475081427,2.492063492063492,3.507936507936508,6.0
DNK,-0.0,,0.0,6.0,6.0
DOM,-1.0601081758164506,0.0,6.0,0.0,6.0
DZA,-0.3046966047634232,0.5375692829012294,3.2397089071466016,0.7586206896551724,3.9983295968017742
ECU,-0.4288326032424776,0.4714503517201465,4.241379310344827,1.7586206896551724,6.0
EGY,-0.42196987772817063,0.5110265407003295,4.119141601378941,0.8808583986210592,5.0
ERI,-0.5300540879082253,0.0,3.0,0.0,3.0
ESH,-0.4138319739658092,0.25287356321839083,3.0,0.0,3.0
ESP,-0.0,,0.0,6.0,6.0
EST,-0.38685116906371647,0.7814631919802185,6.0,0.0,6.0
ETH,-0.42823194548125654,0.3085106382978724,3.2413793103448274,0.7586206896551724,4.0
FIN,-0.0,,0.0,6.0,6.0
FJI,-0.35336939193881695,0.0,2.0,0.5079365079365079,2.507936507936508
FRA,-0.0,,0.0,6.0,6.0
FRO,-0.635192083924269,0.4378463515525748,6.0,0.0,6.0
FSM,-0.5746077520248881,0.4317773788150808,4.632016632016632,0.0,4.632016632016632
GAB,-0.16023203883078901,0.488372093023256,1.4827586206896552,1.5172413793103448,3.0
GBR,-0.0,,0.0,6.0,6.0
GEO,-0.7370103005674751,0.33333333333333337,6.0,0.0,6.0
GHA,-0.3743142866797759,0.33333333333333337,3.0,0.0,3.0
GIN,-0.4138319739658092,0.25287356321839083,3.0,0.0,3.0
GMB,-0.3743142866797759,0.33333333333333337,3.0,0.0,3.0
GNB,-0.3743142866797759,0.33333333333333337,3.0,0.0,3.0
GNQ,-0.16023203883078901,0.488372093023256,1.4827586206896552,1.5172413793103448,3.0
GRC,-0.0,,0.0,6.0,6.0
GRD,-0.2818881506030425,0.40111453475081427,2.492063492063492,3.507936507936508,6.0
GRL,-0.0,,0.0,4.0,4.0
GTM,-0.749386813939215,0.0,4.241379310344827,1.7586206896551724,6.0
GUY,-0.29729051514634536,0.5023764914183824,3.0,3.0,6.0
HKG,-0.6435463659116131,0.5,6.0,0.0,6.0
HND,-0.749386813939215,0.0,4.241379310344827,1.7586206896551724,6.0
HRV,-0.41315585724694986,0.6844349783449135,6.0,0.0,6.0
HTI,-0.7370103005674751,0.5,6.0,0.0,6.0
HUN,-0.6187391503265963,0.4433354729409785,6.0,0.0,6.0
IDN,-0.614496071794911,0.546242774566474,5.492063492063492,0.5079365079365079,6.0
IND,-0.3352356401746214,0.75,4.0,2.0,6.0
IRL,-0.0,,0.0,6.0,6.0
IRN,-0.22199862372340354,0.4856652133703263,2.0,0.0,2.0
IRQ,-0.0897446074765249,0.0,0.5079365079365079,0.0,0.5079365079365079
ISL,-0.0,,0.0,6.0,6.0
ISR,-0.12992522552252228,0.3333333333333339,1.0,5.0,6.0
ITA,-0.0,,0.0,6.0,6.0
JAM,-0.29729051514634536,0.5023764914183824,3.0,3.0,6.0
JOR,-0.4671926301653268,0.6,5.0,0.0,5.0
JPN,-0.8951249629362329,0.16666666666666663,6.0,0.0,6.0
KAZ,-0.5913000896717213,0.5,6.0,0.0,6.0
KEN,-0.2294272725305404,0.04290718038528851,1.357907253269917,2.642092746730083,4.0
KGZ,-0.5662925986865642,0.6851453175457481,7.118773946360153,0.0,6.0
KHM,-0.567345762578794,0.4,5.0,0.0,5.0
KIR,-0.5553103392034404,0.44522968197879853,4.492063492063492,0.5079365079365079,5.0
KNA,-0.2818881506030425,0.40111453475081427,2.492063492063492,3.507936507936508,6.0
KOR,-0.7067387838776339,0.0,4.0,2.0,6.0
KWT,-0.5661645474778622,0.5846560846560847,6.0,0.0,6.0
LAO,-0.36851066407606664,0.33333333333333337,3.0,2.0,5.0
LBN,-0.5154676076855291,0.5060977560268078,4.999018690035713,0.0,4.999018690035713
LBR,-0.3743142866797759,0.33333333333333337,3.0,0.0,3.0
LBY,-0.338767792188864,0.4652144545761566,3.2413793103448274,0.7586206896551724,4.0
LCA,-0.2818881506030425,0.40111453475081427,2.492063492063492,3.507936507936508,6.0
LIE,-1.0601081758164506,0.0,6.0,0.0,6.0
LKA,-0.37273026541877,0.48786949074509545,3.603163454828014,2.0,5.603163454828014
LSO,-0.6761601276483747,0.6553406404470234,6.1474435196195,0.8812260536398467,5.0
LTU,-0.401793852422029,0.7093181748602537,6.0,0.0,6.0
LUX,-0.0,,0.0,6.0,6.0
LVA,-0.4154416519901879,0.7210905708620512,6.0,0.0,6.0
MAC,-0.722753435561551,0.19999999999999996,5.0,0.0,5.0
MAR,-0.6375209886102982,0.35648200769834226,5.241379310344827,0.7586206896551724,6.0
MCO,-0.0,,0.0,0.0,0.0
MDA,-0.5913000896717213,0.5,6.0,0.0,6.0
MDG,-0.42823194548125654,0.3085106382978724,3.2413793103448274,0.7586206896551724,4.0
MDV,-0.0,,0.0,0.0,0.0
MEX,-0.7206362376428317,0.20317460317460312,5.0,1.0,6.0
MHL,-0.46503705841428494,0.0,2.632016632016632,0.0,2.632016632016632
MKD,-0.49426010622595096,0.5846560846560847,6.0,0.0,6.0
MLI,-0.42766724028425973,0.5,4.0,0.0,4.0
MLT,-1.0601081758164506,0.0,6.0,0.0,6.0
MMR,-0.5734318978913285,0.4,5.0,0.0,5.0
MNE,-1.0601081758164506,0.0,6.0,0.0,6.0
MNG,-0.7094402043570103,0.11267605633802813,4.507936507936508,0.0,4.507936507936508
MOZ,-0.7387081665497748,0.6442053605134013,6.299643281807372,0.7586206896551724,5.0
MRT,-0.3332482838986572,0.5827046918123275,2.9748221127531473,0.7586206896551724,3.0
MSR,-0.0503728289711924,,0.49166638025202936,4.507936507936508,4.999602888188537
MUS,-0.5218911412479492,0.4715447154471545,4.241379310344827,0.7586206896551724,5.0
MWI,-0.5218911412479492,0.4715447154471545,4.241379310344827,0.7586206896551724,5.0
MYS,-0.5582787005368695,0.5015873015873016,5.0,0.5079365079365079,5.507936507936508
NAM,-0.5734318978913285,0.4,5.0,0.0,5.0
NCL,-0.0,,0.0,4.0,4.0
NER,-0.42766724028425973,0.5,4.0,0.0,4.0
NGA,-0.37339370763018465,0.33333333333333337,3.0,0.0,3.0
NIC,-0.6650254297805968,0.07777777777777761,4.080459770114943,1.9195402298850572,6.0
NIU,-0.5553103392034404,0.44522968197879853,4.492063492063492,0.5079365079365079,5.0
NLD,-0.0,,0.0,6.0,6.0
NOR,-0.0,,0.0,6.0,6.0
NPL,-0.0,,0.0,0.0,0.0
NRU,-0.6271684546846317,0.4,5.0,0.0,5.0
NZL,-0.39614943548293396,0.0,2.2421264802217182,3.7578735197782818,6.0
OMN,-0.6793519117984335,0.5,6.0,0.0,6.0
PAK,-0.46810651361358807,0.5517241379310345,5.0,0.0,5.0
PAN,-0.7737272733635213,0.12611952611952615,5.0,1.0,6.0
PCN,-0.0,,0.0,4.0,4.0
PER,-0.43125856117632194,0.47115379678857217,4.241379310344827,1.7586206896551724,6.0
PHL,-0.5604581686078924,0.546242774566474,5.492063492063492,0.5079365079365079,6.0
PLW,-0.46503705841428494,0.0,2.632016632016632,0.0,2.632016632016632
