ISO3,country,conv,conv_2019,rel_1995,rel_2020,conv_pp,pop_1995,region,inc_1995,D_desta_bb_mean,D_desta_max_mean,D_desta_bb_2020,D_desta_bb_1995,n_pta_desta_mean,D_wb_bb_le_mean,D_wb_bb_le_2020,D_wb_all_le_2020,n_pta_wb_2020
BGR,Bulgaria,33.01513561570138,33.108072596432805,9.656380153577622,13.433748529503049,3.777368375925427,8.406068,Europe & Central Asia,LM,6.0,6.538461538461538,6.0,6.0,31.192307692307693,6.461538461538462,12.0,47.0,49.0
BIH,Bosnia and Herzegovina,133.44881239159855,132.54485031208634,2.433215433033974,9.241478435487133,6.80826300245316,3.715564,Europe & Central Asia,L,3.0,2.9615384615384617,5.0,0.0,7.3076923076923075,6.961538461538462,11.0,20.0,4.0
BLR,Belarus,84.33398769517093,82.01012584798755,4.450649891796712,10.343826705351692,5.893176813554979,10.19383,Europe & Central Asia,LM,1.7692307692307692,2.6538461538461537,2.0,1.0,9.73076923076923,9.153846153846153,12.0,29.0,9.0
BOL,Bolivia,4.171221282142479,16.434047572268422,4.461542228085233,4.651578228250734,0.1900360001655006,7.874676,Latin America & Caribbean,LM,6.0,6.0,6.0,6.0,14.26923076923077,2.269230769230769,4.0,16.0,5.0
BRA,Brazil,-12.641417982755662,-10.821434645867367,15.756064472645786,13.885034012575492,-1.871030460070294,161.3456,Latin America & Caribbean,UM,4.884615384615385,4.884615384615385,5.0,2.0,21.96153846153846,11.0,11.0,19.0,10.0
BWA,Botswana,-0.35885769513695487,7.638734172587452,10.559032718293173,10.521206530024212,-0.03782618826896034,1.498836,Sub-Saharan Africa,LM,4.5,3.5,5.0,4.0,10.692307692307692,4.423076923076923,7.0,16.0,7.0
CAF,Central African Republic,-51.568473811763596,-53.39661646967404,1.1232269350338626,0.6706694127718789,-0.45255752226198376,3.348052,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,11.615384615384615,1.0769230769230769,4.0,8.0,2.0
CHL,Chile,19.77063208796011,25.598455210680697,17.390027727692555,21.191574820011844,3.8015470923192893,14.39494,Latin America & Caribbean,UM,5.653846153846154,6.538461538461538,6.0,4.0,26.26923076923077,9.76923076923077,11.0,31.0,31.0
CHN,China,156.81430025837804,152.88337433932256,3.595872721442301,17.25203085448721,13.656158133044908,1211.21,East Asia & Pacific,L,2.8846153846153846,3.4615384615384617,5.0,0.0,8.576923076923077,6.230769230769231,11.0,23.0,16.0
CIV,Ivory Coast,-13.413258151029146,-14.155750000770553,3.951801051885733,3.455748997505055,-0.49605205438067834,14.85557,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,13.73076923076923,2.9615384615384617,5.0,14.0,4.0
CMR,Cameroon,-5.4780079196543205,-5.588531437950872,2.54807941564464,2.4122492038330408,-0.13583021181159927,13.05852,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,11.615384615384615,1.3461538461538463,5.0,11.0,4.0
COD,Congo DR,-35.62926912929233,-35.75610119578527,1.1311280792812308,0.792092381105706,-0.3390356981755248,44.4337,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,12.76923076923077,7.423076923076923,8.0,16.0,5.0
COG,Republic of the Congo,-54.82979634699592,-48.53761956098314,5.020608549883924,2.9015737282314724,-2.119034821652452,2.749461,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,11.615384615384615,1.0769230769230769,4.0,8.0,2.0
COL,Colombia,-2.2576470739298973,4.3688423557046825,10.372300438381734,10.18124395336197,-0.19105648501976447,35.44849,Latin America & Caribbean,LM,6.0,6.346153846153846,6.0,6.0,22.76923076923077,11.461538461538462,12.0,27.0,14.0
CRI,Costa Rica,18.695951248766878,21.536758785846327,16.834451369966914,20.295255095577886,3.4608037256109725,3.498488,Latin America & Caribbean,LM,5.769230769230769,6.769230769230769,6.0,5.0,16.96153846153846,9.038461538461538,12.0,24.0,13.0
CUB,Cuba,41.724775098069394,50.50922069114006,8.044892843221405,12.210367405124034,4.165474561902629,10.92536,Latin America & Caribbean,LM,3.076923076923077,2.3076923076923075,4.0,0.0,16.153846153846153,1.5384615384615385,2.0,5.0,5.0
CZE,Czech Republic,18.258628960718532,20.69344841915916,27.466281282463388,32.96828504181821,5.5020037593548246,10.33076,Europe & Central Asia,UM,6.0,6.653846153846154,6.0,6.0,32.92307692307692,7.846153846153846,12.0,47.0,49.0
DOM,Dominican Republic,45.57003379371964,52.29904901741311,7.888091685724655,12.44171045143352,4.553618765708865,7.888115,Latin America & Caribbean,LM,5.3076923076923075,6.076923076923077,6.0,3.0,6.3076923076923075,8.461538461538462,12.0,22.0,4.0
DZA,Algeria,-6.237376838354535,-1.971516741669782,7.832427478834592,7.358811685380859,-0.4736157934537326,28.47019,"Middle East, North Africa, Afghanistan & Pakistan",LM,3.5384615384615383,3.9615384615384617,4.0,2.0,8.884615384615385,3.230769230769231,7.0,16.0,3.0
ECU,Ecuador,-8.843617007260018,-0.5369971259684692,9.842677988167726,9.009608844867765,-0.8330691432999604,11.59051,Latin America & Caribbean,LM,4.0,4.461538461538462,6.0,3.0,14.692307692307692,2.3076923076923075,11.0,27.0,9.0
EGY,Egypt,24.19809246848757,19.759033106989005,4.804408395883859,6.119709932964012,1.3153015370801535,65.65262,"Middle East, North Africa, Afghanistan & Pakistan",LM,3.730769230769231,4.6923076923076925,5.0,1.0,21.76923076923077,7.269230769230769,10.0,18.0,12.0
ERI,Eritrea,-45.22307915122875,-45.70175712671489,1.824695792265049,1.160884688646611,-0.663811103618438,2.025267,Sub-Saharan Africa,L,2.0,3.0,2.0,2.0,1.6923076923076923,5.0,5.0,11.0,3.0
EST,Estonia,67.62697843319263,67.94585775733522,17.03950716138708,33.50865744827207,16.46915028688499,1.448075,Europe & Central Asia,LM,5.5,6.384615384615385,6.0,3.0,39.11538461538461,7.846153846153846,12.0,47.0,49.0
