D口径,控制,FE,样本,时期,b_D,b_D2,se_D2,p_D2,拐点,N,国家数,支持
D_strict,+能力、hc、Geo,年份,剔除中东欧入盟国,1995–2019,0.007944719058078016,-0.0009833366723067047,0.0007466186219561072,0.1879549256235411,4.0396739396697905,2389,105,False
D_strict,+能力、hc、Geo,年份,全部国家,1990–2023,0.010896440426623393,-0.0016898589453048028,0.0006863798283577372,0.013868575226690938,3.2240680374236748,3405,117,True
D_strict,+能力、hc、Geo,年份,全部国家,1995–2019,0.006999685728714089,-0.0009971804533126759,0.0006808717606747585,0.14316699480142625,3.5097387365851564,2623,115,False
D_strict,+能力、hc、Geo,区域×年份,发展中国家,1990–2023,0.005306852118998556,-0.000670106302373814,0.0006469440600314759,0.3003756126524362,3.95970915375615,3405,117,False
D_strict,+能力、hc、Geo,区域×年份,发展中国家,1995–2019,0.003841875685688208,-0.000524832866657192,0.0006524928046464695,0.42127608685778695,3.660094412682454,2623,115,False
D_strict,+能力、hc、Geo,区域×年份,剔除中东欧入盟国,1990–2023,0.006269583718190621,-0.0007874853463285688,0.0007062886122433139,0.26496229780688574,3.980762148413815,3112,107,False
D_strict,+能力、hc、Geo,区域×年份,剔除中东欧入盟国,1995–2019,0.004981247673849044,-0.0006259305264259109,0.0007144317590815182,0.38106196055491326,3.9790739255777896,2389,105,False
D_strict,+能力、hc、Geo,区域×年份,全部国家,1990–2023,0.005306852118998556,-0.000670106302373814,0.0006469440600314759,0.3003756126524362,3.95970915375615,3405,117,False
D_strict,+能力、hc、Geo,区域×年份,全部国家,1995–2019,0.003841875685688208,-0.000524832866657192,0.0006524928046464695,0.42127608685778695,3.660094412682454,2623,115,False
D_loose,Aizenman六项,年份,发展中国家,1990–2023,0.013623960728057603,-0.0017441333668003576,0.0007551054782338144,0.020956469525073018,3.9056533712932144,3744,119,True
D_loose,Aizenman六项,年份,发展中国家,1995–2019,0.001559976915787073,-4.196582150017685e-05,0.0007472335925663377,0.9552173205355126,18.58627878618436,2799,118,False
D_loose,Aizenman六项,年份,剔除中东欧入盟国,1990–2023,0.013302650059958057,-0.001757109009589047,0.0008002031040274779,0.02817383965285658,3.785379844779603,3437,109,True
D_loose,Aizenman六项,年份,剔除中东欧入盟国,1995–2019,0.001969378261691175,-5.924491794540723e-05,0.0007929543870966427,0.9404483065893547,16.620651441410637,2565,108,False
D_loose,Aizenman六项,年份,全部国家,1990–2023,0.01131248804507532,-0.0013592206071422047,0.000639393361993104,0.03357469806717739,4.161387778272472,4669,148,True
D_loose,Aizenman六项,年份,全部国家,1995–2019,-0.00161069312175886,0.0003201212415365713,0.0006160056139948855,0.6033265861804491,2.5157548340553513,3484,147,False
D_loose,Aizenman六项,区域×年份,发展中国家,1990–2023,0.007173997753949975,-0.0008690275099449335,0.0007455962650640644,0.2438790603840384,4.127601066624784,3744,119,False
D_loose,Aizenman六项,区域×年份,发展中国家,1995–2019,0.00039814993454737816,3.4584487257885583e-06,0.0007349832736767363,0.9962459562706454,-57.56192531907442,2799,118,False
D_loose,Aizenman六项,区域×年份,剔除中东欧入盟国,1990–2023,0.006807314238214952,-0.0008230069745578275,0.0008063527186472554,0.3074976948701993,4.135635813944518,3437,109,False
D_loose,Aizenman六项,区域×年份,剔除中东欧入盟国,1995–2019,0.0009891921681142312,-2.7707163166063913e-05,0.0007884121819886191,0.971968769292892,17.850838106114853,2565,108,False
D_loose,Aizenman六项,区域×年份,全部国家,1990–2023,0.008157721164201137,-0.0007621067350267687,0.0005744528079666861,0.18469019485968263,5.35208573108503,4669,148,False
D_loose,Aizenman六项,区域×年份,全部国家,1995–2019,-0.0031084814091934553,0.00040646508479502095,0.0006019610561518773,0.4995760491308441,3.823798802744709,3484,147,False
D_loose,+能力、hc,年份,发展中国家,1990–2023,0.015361665056822961,-0.002000107583958255,0.0006751604807208824,0.0030740837235330165,3.8402096917261574,3465,117,True
D_loose,+能力、hc,年份,发展中国家,1995–2019,0.0075323612823321425,-0.0007738959419333231,0.0007136705831819051,0.27829662144942446,4.866520725974495,2665,115,False
D_loose,+能力、hc,年份,剔除中东欧入盟国,1990–2023,0.014895038558751203,-0.001972365500442,0.0007069323102933736,0.005303351159563041,3.775932644181131,3166,107,True
D_loose,+能力、hc,年份,剔除中东欧入盟国,1995–2019,0.008571357902158275,-0.0008516812485269231,0.0007685277405807906,0.267892397119706,5.032022201371339,2431,105,False
D_loose,+能力、hc,年份,全部国家,1990–2023,0.013730499079113393,-0.0017058789733971806,0.0005734387058981647,0.0029485377690814385,4.024464599551786,4319,145,True
D_loose,+能力、hc,年份,全部国家,1995–2019,0.006063187639182018,-0.0005531524484625037,0.0006254003380805409,0.3765064202442474,5.480575613499269,3311,143,False
D_loose,+能力、hc,区域×年份,发展中国家,1990–2023,0.00848253373415712,-0.0010570663264893119,0.0006434536600012615,0.10052420394134809,4.012299664453878,3465,117,False
D_loose,+能力、hc,区域×年份,发展中国家,1995–2019,0.005767535557776472,-0.0006850534481354461,0.0006603755211613065,0.29966856718004875,4.209551512713602,2665,115,False
D_loose,+能力、hc,区域×年份,剔除中东欧入盟国,1990–2023,0.008969685562466223,-0.0011036864766329046,0.0006650516470363328,0.09711495258281477,4.063511582487939,3166,107,False
D_loose,+能力、hc,区域×年份,剔除中东欧入盟国,1995–2019,0.006932639275987152,-0.0007583471946740184,0.0007180746684070188,0.2910475440724589,4.570887401361855,2431,105,False
